title,url
Jojo Rabbit,https://letterboxd.com/film/jojo-rabbit/
Arrival,https://letterboxd.com/film/arrival-2016/
Deadpool,https://letterboxd.com/film/deadpool/
Black Panther,https://letterboxd.com/film/black-panther/
Donnie Darko,https://letterboxd.com/film/donnie-darko/
Past Lives,https://letterboxd.com/film/past-lives/
Pearl,https://letterboxd.com/film/pearl-2022/
Coco,https://letterboxd.com/film/coco-2017/
Titanic,https://letterboxd.com/film/titanic-1997/
Mean Girls,https://letterboxd.com/film/mean-girls/
Coraline,https://letterboxd.com/film/coraline/
Mad Max: Fury Road,https://letterboxd.com/film/mad-max-fury-road/
Up,https://letterboxd.com/film/up/
Howl's Moving Castle,https://letterboxd.com/film/howls-moving-castle/
Anatomy of a Fall,https://letterboxd.com/film/anatomy-of-a-fall/
Drive,https://letterboxd.com/film/drive-2011/
Don't Look Up,https://letterboxd.com/film/dont-look-up-2021/
Little Miss Sunshine,https://letterboxd.com/film/little-miss-sunshine/
Harry Potter and the Prisoner of Azkaban,https://letterboxd.com/film/harry-potter-and-the-prisoner-of-azkaban/
Back to the Future,https://letterboxd.com/film/back-to-the-future/
Star Wars,https://letterboxd.com/film/star-wars/
X,https://letterboxd.com/film/x-2022/
Us,https://letterboxd.com/film/us-2019/
GoodFellas,https://letterboxd.com/film/goodfellas/
Aftersun,https://letterboxd.com/film/aftersun/
The Hunger Games,https://letterboxd.com/film/the-hunger-games/
Soul,https://letterboxd.com/film/soul-2020/
Spider-Man: Homecoming,https://letterboxd.com/film/spider-man-homecoming/
Avatar: The Way of Water,https://letterboxd.com/film/avatar-the-way-of-water/
Guardians of the Galaxy Vol. 3,https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/
WALL·E,https://letterboxd.com/film/walle/
Harry Potter and the Philosopher's Stone,https://letterboxd.com/film/harry-potter-and-the-philosophers-stone/
Top Gun: Maverick,https://letterboxd.com/film/top-gun-maverick/
Scream,https://letterboxd.com/film/scream/
The Lighthouse,https://letterboxd.com/film/the-lighthouse-2019/
Alien,https://letterboxd.com/film/alien/
The Devil Wears Prada,https://letterboxd.com/film/the-devil-wears-prada/
Bottoms,https://letterboxd.com/film/bottoms/
Bullet Train,https://letterboxd.com/film/bullet-train/
No Country for Old Men,https://letterboxd.com/film/no-country-for-old-men/
Prisoners,https://letterboxd.com/film/prisoners/
Longlegs,https://letterboxd.com/film/longlegs/
Avatar,https://letterboxd.com/film/avatar/
2001: A Space Odyssey,https://letterboxd.com/film/2001-a-space-odyssey/
1917,https://letterboxd.com/film/1917/
The Breakfast Club,https://letterboxd.com/film/the-breakfast-club/
Thor: Ragnarok,https://letterboxd.com/film/thor-ragnarok/
Memento,https://letterboxd.com/film/memento/
It,https://letterboxd.com/film/it-2017/
The Avengers,https://letterboxd.com/film/the-avengers-2012/
Spider-Man: Far From Home,https://letterboxd.com/film/spider-man-far-from-home/
Moonlight,https://letterboxd.com/film/moonlight-2016/
Shrek,https://letterboxd.com/film/shrek/
Doctor Strange in the Multiverse of Madness,https://letterboxd.com/film/doctor-strange-in-the-multiverse-of-madness/
Uncut Gems,https://letterboxd.com/film/uncut-gems/
Catch Me If You Can,https://letterboxd.com/film/catch-me-if-you-can-2002/
Spider-Man,https://letterboxd.com/film/spider-man/
Puss in Boots: The Last Wish,https://letterboxd.com/film/puss-in-boots-the-last-wish/
My Neighbor Totoro,https://letterboxd.com/film/my-neighbor-totoro/
Anyone But You,https://letterboxd.com/film/anyone-but-you/
Dunkirk,https://letterboxd.com/film/dunkirk-2017/
The Holdovers,https://letterboxd.com/film/the-holdovers/
The Empire Strikes Back,https://letterboxd.com/film/the-empire-strikes-back/
Requiem for a Dream,https://letterboxd.com/film/requiem-for-a-dream/
A Quiet Place,https://letterboxd.com/film/a-quiet-place-2018/
Killers of the Flower Moon,https://letterboxd.com/film/killers-of-the-flower-moon/
The Lord of the Rings: The Return of the King,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
Lost in Translation,https://letterboxd.com/film/lost-in-translation/
Superbad,https://letterboxd.com/film/superbad/
Toy Story,https://letterboxd.com/film/toy-story/
Jurassic Park,https://letterboxd.com/film/jurassic-park/
Nightcrawler,https://letterboxd.com/film/nightcrawler/
