title,url
Train to Busan,https://letterboxd.com/film/train-to-busan/
The Killer,https://letterboxd.com/film/the-killer-2023/
The Green Mile,https://letterboxd.com/film/the-green-mile/
The Hunger Games: Mockingjay – Part 2,https://letterboxd.com/film/the-hunger-games-mockingjay-part-2/
Heat,https://letterboxd.com/film/heat-1995/
Promising Young Woman,https://letterboxd.com/film/promising-young-woman/
Fallen Angels,https://letterboxd.com/film/fallen-angels/
The Amazing Spider-Man 2,https://letterboxd.com/film/the-amazing-spider-man-2/
Full Metal Jacket,https://letterboxd.com/film/full-metal-jacket/
Easy A,https://letterboxd.com/film/easy-a/
Trap,https://letterboxd.com/film/trap-2024/
Chungking Express,https://letterboxd.com/film/chungking-express/
May December,https://letterboxd.com/film/may-december/
A Star Is Born,https://letterboxd.com/film/a-star-is-born-2018/
The Imitation Game,https://letterboxd.com/film/the-imitation-game/
Casablanca,https://letterboxd.com/film/casablanca/
Memories of Murder,https://letterboxd.com/film/memories-of-murder/
Late Night with the Devil,https://letterboxd.com/film/late-night-with-the-devil/
The Big Short,https://letterboxd.com/film/the-big-short/
The Texas Chain Saw Massacre,https://letterboxd.com/film/the-texas-chain-saw-massacre/
Annihilation,https://letterboxd.com/film/annihilation/
Carrie,https://letterboxd.com/film/carrie-1976/
Free Guy,https://letterboxd.com/film/free-guy/
Saw,https://letterboxd.com/film/saw/
The Lego Movie,https://letterboxd.com/film/the-lego-movie/
I Saw the TV Glow,https://letterboxd.com/film/i-saw-the-tv-glow/
School of Rock,https://letterboxd.com/film/school-of-rock/
Toy Story 4,https://letterboxd.com/film/toy-story-4/
Wonder Woman,https://letterboxd.com/film/wonder-woman-2017/
It Chapter Two,https://letterboxd.com/film/it-chapter-two/
Frances Ha,https://letterboxd.com/film/frances-ha/
Top Gun,https://letterboxd.com/film/top-gun/
Palm Springs,https://letterboxd.com/film/palm-springs-2020/
Pretty Woman,https://letterboxd.com/film/pretty-woman/
Wicked,https://letterboxd.com/film/wicked-2024/
The Wild Robot,https://letterboxd.com/film/the-wild-robot/
Aliens,https://letterboxd.com/film/aliens/
Ant-Man and the Wasp,https://letterboxd.com/film/ant-man-and-the-wasp/
The Fabelmans,https://letterboxd.com/film/the-fabelmans/
Love Lies Bleeding,https://letterboxd.com/film/love-lies-bleeding-2024/
Ready Player One,https://letterboxd.com/film/ready-player-one/
The Rocky Horror Picture Show,https://letterboxd.com/film/the-rocky-horror-picture-show/
Silver Linings Playbook,https://letterboxd.com/film/silver-linings-playbook/
Rear Window,https://letterboxd.com/film/rear-window/
The Princess Bride,https://letterboxd.com/film/the-princess-bride/
Elemental,https://letterboxd.com/film/elemental-2023/
John Wick: Chapter 2,https://letterboxd.com/film/john-wick-chapter-2/
Perfect Days,https://letterboxd.com/film/perfect-days-2023/
21 Jump Street,https://letterboxd.com/film/21-jump-street/
Zombieland,https://letterboxd.com/film/zombieland/
Green Book,https://letterboxd.com/film/green-book/
Citizen Kane,https://letterboxd.com/film/citizen-kane/
Scream,https://letterboxd.com/film/scream-2022/
Midnight in Paris,https://letterboxd.com/film/midnight-in-paris/
Akira,https://letterboxd.com/film/akira/
Good Time,https://letterboxd.com/film/good-time/
Scream VI,https://letterboxd.com/film/scream-vi/
Love Actually,https://letterboxd.com/film/love-actually/
Joker: Folie à Deux,https://letterboxd.com/film/joker-folie-a-deux/
A Quiet Place: Day One,https://letterboxd.com/film/a-quiet-place-day-one/
"Paris, Texas",https://letterboxd.com/film/paris-texas/
Pitch Perfect,https://letterboxd.com/film/pitch-perfect/
Thor: The Dark World,https://letterboxd.com/film/thor-the-dark-world/
mid90s,https://letterboxd.com/film/mid90s/
Mulan,https://letterboxd.com/film/mulan/
A Quiet Place Part II,https://letterboxd.com/film/a-quiet-place-part-ii/
Ford v Ferrari,https://letterboxd.com/film/ford-v-ferrari/
Hot Fuzz,https://letterboxd.com/film/hot-fuzz/
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),https://letterboxd.com/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/
"Three Billboards Outside Ebbing, Missouri",https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/
Monkey Man,https://letterboxd.com/film/monkey-man/
The Queen's Gambit,https://letterboxd.com/film/the-queens-gambit/
