title,url
The Incredibles,https://letterboxd.com/film/the-incredibles/
Zodiac,https://letterboxd.com/film/zodiac/
The Banshees of Inisherin,https://letterboxd.com/film/the-banshees-of-inisherin/
Pride & Prejudice,https://letterboxd.com/film/pride-prejudice/
Tenet,https://letterboxd.com/film/tenet/
Before Sunrise,https://letterboxd.com/film/before-sunrise/
Iron Man,https://letterboxd.com/film/iron-man-2008/
The Lord of the Rings: The Two Towers,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
The Hunger Games: The Ballad of Songbirds & Snakes,https://letterboxd.com/film/the-hunger-games-the-ballad-of-songbirds-snakes/
Finding Nemo,https://letterboxd.com/film/finding-nemo/
"Monsters, Inc.",https://letterboxd.com/film/monsters-inc/
Portrait of a Lady on Fire,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
A Clockwork Orange,https://letterboxd.com/film/a-clockwork-orange/
Home Alone,https://letterboxd.com/film/home-alone/
Wonka,https://letterboxd.com/film/wonka/
Guardians of the Galaxy Vol. 2,https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/
Oldboy,https://letterboxd.com/film/oldboy/
Harry Potter and the Goblet of Fire,https://letterboxd.com/film/harry-potter-and-the-goblet-of-fire/
Spider-Man 2,https://letterboxd.com/film/spider-man-2/
Harry Potter and the Chamber of Secrets,https://letterboxd.com/film/harry-potter-and-the-chamber-of-secrets/
The Super Mario Bros. Movie,https://letterboxd.com/film/the-super-mario-bros-movie/
Captain America: Civil War,https://letterboxd.com/film/captain-america-civil-war/
The Dark Knight Rises,https://letterboxd.com/film/the-dark-knight-rises/
Gladiator,https://letterboxd.com/film/gladiator-2000/
Reservoir Dogs,https://letterboxd.com/film/reservoir-dogs/
Blade Runner,https://letterboxd.com/film/blade-runner/
Mamma Mia!,https://letterboxd.com/film/mamma-mia/
Marriage Story,https://letterboxd.com/film/marriage-story-2019/
The Prestige,https://letterboxd.com/film/the-prestige/
Psycho,https://letterboxd.com/film/psycho/
Beetlejuice,https://letterboxd.com/film/beetlejuice/
Batman Begins,https://letterboxd.com/film/batman-begins/
The Hunger Games: Catching Fire,https://letterboxd.com/film/the-hunger-games-catching-fire/
Brokeback Mountain,https://letterboxd.com/film/brokeback-mountain/
The Boy and the Heron,https://letterboxd.com/film/the-boy-and-the-heron/
The Witch,https://letterboxd.com/film/the-witch-2015/
Doctor Strange,https://letterboxd.com/film/doctor-strange-2016/
Asteroid City,https://letterboxd.com/film/asteroid-city/
Amélie,https://letterboxd.com/film/amelie/
John Wick,https://letterboxd.com/film/john-wick/
The Notebook,https://letterboxd.com/film/the-notebook/
The Nightmare Before Christmas,https://letterboxd.com/film/the-nightmare-before-christmas/
Barbarian,https://letterboxd.com/film/barbarian-2022/
The Lion King,https://letterboxd.com/film/the-lion-king/
Tangled,https://letterboxd.com/film/tangled-2010/
Schindler's List,https://letterboxd.com/film/schindlers-list/
Princess Mononoke,https://letterboxd.com/film/princess-mononoke/
Juno,https://letterboxd.com/film/juno/
Harry Potter and the Deathly Hallows: Part 2,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/
Star Wars: The Force Awakens,https://letterboxd.com/film/star-wars-the-force-awakens/
Captain America: The Winter Soldier,https://letterboxd.com/film/captain-america-the-winter-soldier/
Babylon,https://letterboxd.com/film/babylon-2022/
Bohemian Rhapsody,https://letterboxd.com/film/bohemian-rhapsody/
Twilight,https://letterboxd.com/film/twilight-2008/
Bodies Bodies Bodies,https://letterboxd.com/film/bodies-bodies-bodies/
Jaws,https://letterboxd.com/film/jaws/
Star Wars: Episode III – Revenge of the Sith,https://letterboxd.com/film/star-wars-episode-iii-revenge-of-the-sith/
Priscilla,https://letterboxd.com/film/priscilla/
Talk to Me,https://letterboxd.com/film/talk-to-me-2022/
Clueless,https://letterboxd.com/film/clueless/
The Lobster,https://letterboxd.com/film/the-lobster/
Deadpool 2,https://letterboxd.com/film/deadpool-2/
Harry Potter and the Order of the Phoenix,https://letterboxd.com/film/harry-potter-and-the-order-of-the-phoenix/
Split,https://letterboxd.com/film/split-2016/
Perfect Blue,https://letterboxd.com/film/perfect-blue/
The Whale,https://letterboxd.com/film/the-whale-2022/
There Will Be Blood,https://letterboxd.com/film/there-will-be-blood/
Return of the Jedi,https://letterboxd.com/film/return-of-the-jedi/
The French Dispatch,https://letterboxd.com/film/the-french-dispatch/
Shrek 2,https://letterboxd.com/film/shrek-2/
Ex Machina,https://letterboxd.com/film/ex-machina-2015/
The Departed,https://letterboxd.com/film/the-departed/
