title,url
Thelma & Louise,https://letterboxd.com/film/thelma-louise/
The Flash,https://letterboxd.com/film/the-flash/
"Red, White & Royal Blue",https://letterboxd.com/film/red-white-royal-blue/
West Side Story,https://letterboxd.com/film/west-side-story-2021/
Marcel the Shell with Shoes On,https://letterboxd.com/film/marcel-the-shell-with-shoes-on-2021/
Dallas Buyers Club,https://letterboxd.com/film/dallas-buyers-club/
Slumdog Millionaire,https://letterboxd.com/film/slumdog-millionaire/
Amadeus,https://letterboxd.com/film/amadeus/
Paddington 2,https://letterboxd.com/film/paddington-2/
Bo Burnham: Inside,https://letterboxd.com/film/bo-burnham-inside/
Mission: Impossible,https://letterboxd.com/film/mission-impossible/
Malignant,https://letterboxd.com/film/malignant-2021/
Decision to Leave,https://letterboxd.com/film/decision-to-leave/
House,https://letterboxd.com/film/house/
Infinity Pool,https://letterboxd.com/film/infinity-pool/
House of Gucci,https://letterboxd.com/film/house-of-gucci/
Big Fish,https://letterboxd.com/film/big-fish/
Napoleon Dynamite,https://letterboxd.com/film/napoleon-dynamite/
Rushmore,https://letterboxd.com/film/rushmore/
Dog Day Afternoon,https://letterboxd.com/film/dog-day-afternoon/
The Game,https://letterboxd.com/film/the-game/
Breakfast at Tiffany's,https://letterboxd.com/film/breakfast-at-tiffanys/
Mamma Mia! Here We Go Again,https://letterboxd.com/film/mamma-mia-here-we-go-again/
The Polar Express,https://letterboxd.com/film/the-polar-express/
Prey,https://letterboxd.com/film/prey-2022/
The Theory of Everything,https://letterboxd.com/film/the-theory-of-everything-2014/
The Unbearable Weight of Massive Talent,https://letterboxd.com/film/the-unbearable-weight-of-massive-talent/
Bridget Jones's Diary,https://letterboxd.com/film/bridget-joness-diary/
Smile 2,https://letterboxd.com/film/smile-2-2024/
The Mask,https://letterboxd.com/film/the-mask-1994/
The Master,https://letterboxd.com/film/the-master-2012/
The Life Aquatic with Steve Zissou,https://letterboxd.com/film/the-life-aquatic-with-steve-zissou/
Kingsman: The Golden Circle,https://letterboxd.com/film/kingsman-the-golden-circle/
The Little Mermaid,https://letterboxd.com/film/the-little-mermaid/
Okja,https://letterboxd.com/film/okja/
Freaky Friday,https://letterboxd.com/film/freaky-friday-2003/
A Bug's Life,https://letterboxd.com/film/a-bugs-life/
The Father,https://letterboxd.com/film/the-father-2020/
The Intouchables,https://letterboxd.com/film/the-intouchables/
El Camino: A Breaking Bad Movie,https://letterboxd.com/film/el-camino-a-breaking-bad-movie/
We Need to Talk About Kevin,https://letterboxd.com/film/we-need-to-talk-about-kevin/
Close,https://letterboxd.com/film/close-2022/
Incendies,https://letterboxd.com/film/incendies/
Enola Holmes,https://letterboxd.com/film/enola-holmes/
Minions: The Rise of Gru,https://letterboxd.com/film/minions-the-rise-of-gru/
A Beautiful Mind,https://letterboxd.com/film/a-beautiful-mind/
The Gentlemen,https://letterboxd.com/film/the-gentlemen/
Uncharted,https://letterboxd.com/film/uncharted-2022/
A Ghost Story,https://letterboxd.com/film/a-ghost-story-2017/
The Hobbit: The Battle of the Five Armies,https://letterboxd.com/film/the-hobbit-the-battle-of-the-five-armies-extended-version/
Moulin Rouge!,https://letterboxd.com/film/moulin-rouge-2001/
The Incredible Hulk,https://letterboxd.com/film/the-incredible-hulk/
Do Revenge,https://letterboxd.com/film/do-revenge/
Zack Snyder's Justice League,https://letterboxd.com/film/zack-snyders-justice-league/
Jumanji,https://letterboxd.com/film/jumanji/
Loki,https://letterboxd.com/film/loki-2021/
The Conjuring 2,https://letterboxd.com/film/the-conjuring-2/
Creed,https://letterboxd.com/film/creed/
How to Train Your Dragon 2,https://letterboxd.com/film/how-to-train-your-dragon-2/
A Silent Voice: The Movie,https://letterboxd.com/film/a-silent-voice-the-movie/
I Am Legend,https://letterboxd.com/film/i-am-legend/
Godzilla vs. Kong,https://letterboxd.com/film/godzilla-vs-kong/
Back to the Future Part III,https://letterboxd.com/film/back-to-the-future-part-iii/
Scooby-Doo,https://letterboxd.com/film/scooby-doo/
Chernobyl,https://letterboxd.com/film/chernobyl/
Under the Skin,https://letterboxd.com/film/under-the-skin-2013/
The Twilight Saga: Eclipse,https://letterboxd.com/film/the-twilight-saga-eclipse/
The Matrix Reloaded,https://letterboxd.com/film/the-matrix-reloaded/
Castle in the Sky,https://letterboxd.com/film/castle-in-the-sky/
Misery,https://letterboxd.com/film/misery/
The Craft,https://letterboxd.com/film/the-craft/
Onward,https://letterboxd.com/film/onward-2020/
