title,url
It Follows,https://letterboxd.com/film/it-follows/
Blue Velvet,https://letterboxd.com/film/blue-velvet/
Leave the World Behind,https://letterboxd.com/film/leave-the-world-behind-2023/
Children of Men,https://letterboxd.com/film/children-of-men/
Ant-Man and the Wasp: Quantumania,https://letterboxd.com/film/ant-man-and-the-wasp-quantumania/
Shiva Baby,https://letterboxd.com/film/shiva-baby-2020/
V for Vendetta,https://letterboxd.com/film/v-for-vendetta/
Beau Is Afraid,https://letterboxd.com/film/beau-is-afraid/
The Greatest Showman,https://letterboxd.com/film/the-greatest-showman/
Suspiria,https://letterboxd.com/film/suspiria/
John Wick: Chapter 3 – Parabellum,https://letterboxd.com/film/john-wick-chapter-3-parabellum/
The Curious Case of Benjamin Button,https://letterboxd.com/film/the-curious-case-of-benjamin-button/
Marie Antoinette,https://letterboxd.com/film/marie-antoinette-2006/
Guillermo del Toro's Pinocchio,https://letterboxd.com/film/guillermo-del-toros-pinocchio/
Anora,https://letterboxd.com/film/anora/
Come and See,https://letterboxd.com/film/come-and-see/
The Princess Diaries,https://letterboxd.com/film/the-princess-diaries/
The Edge of Seventeen,https://letterboxd.com/film/the-edge-of-seventeen/
"The Good, the Bad and the Ugly",https://letterboxd.com/film/the-good-the-bad-and-the-ugly/
But I'm a Cheerleader,https://letterboxd.com/film/but-im-a-cheerleader/
Snowpiercer,https://letterboxd.com/film/snowpiercer/
M3GAN,https://letterboxd.com/film/m3gan/
Minari,https://letterboxd.com/film/minari/
Evil Dead Rise,https://letterboxd.com/film/evil-dead-rise/
Sicario,https://letterboxd.com/film/sicario-2015/
Bird Box,https://letterboxd.com/film/bird-box/
Room,https://letterboxd.com/film/room-2015/
A Nightmare on Elm Street,https://letterboxd.com/film/a-nightmare-on-elm-street/
Brave,https://letterboxd.com/film/brave-2012/
Carol,https://letterboxd.com/film/carol-2015/
The Blair Witch Project,https://letterboxd.com/film/the-blair-witch-project/
Alice in Wonderland,https://letterboxd.com/film/alice-in-wonderland-2010/
Grease,https://letterboxd.com/film/grease/
Boyhood,https://letterboxd.com/film/boyhood/
The Terminator,https://letterboxd.com/film/the-terminator/
Wreck-It Ralph,https://letterboxd.com/film/wreck-it-ralph/
Punch-Drunk Love,https://letterboxd.com/film/punch-drunk-love/
Phantom Thread,https://letterboxd.com/film/phantom-thread/
Mr. & Mrs. Smith,https://letterboxd.com/film/mr-mrs-smith-2005/
Terminator 2: Judgment Day,https://letterboxd.com/film/terminator-2-judgment-day/
The Green Knight,https://letterboxd.com/film/the-green-knight/
The Maze Runner,https://letterboxd.com/film/the-maze-runner/
Rise of the Planet of the Apes,https://letterboxd.com/film/rise-of-the-planet-of-the-apes/
Dungeons & Dragons: Honor Among Thieves,https://letterboxd.com/film/dungeons-dragons-honor-among-thieves/
Rocky,https://letterboxd.com/film/rocky/
Suspiria,https://letterboxd.com/film/suspiria-2018/
Fantastic Beasts and Where to Find Them,https://letterboxd.com/film/fantastic-beasts-and-where-to-find-them/
No Time to Die,https://letterboxd.com/film/no-time-to-die-2021/
Pirates of the Caribbean: Dead Man's Chest,https://letterboxd.com/film/pirates-of-the-caribbean-dead-mans-chest/
Ghostbusters,https://letterboxd.com/film/ghostbusters/
The Cabin in the Woods,https://letterboxd.com/film/the-cabin-in-the-woods/
Gladiator II,https://letterboxd.com/film/gladiator-ii/
Jurassic World,https://letterboxd.com/film/jurassic-world/
Gravity,https://letterboxd.com/film/gravity-2013/
X-Men: Days of Future Past,https://letterboxd.com/film/x-men-days-of-future-past/
Crazy Rich Asians,https://letterboxd.com/film/crazy-rich-asians/
Mission: Impossible – Dead Reckoning,https://letterboxd.com/film/mission-impossible-dead-reckoning/
Kinds of Kindness,https://letterboxd.com/film/kinds-of-kindness/
Skyfall,https://letterboxd.com/film/skyfall/
Another Round,https://letterboxd.com/film/another-round/
Almost Famous,https://letterboxd.com/film/almost-famous/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
Mean Girls,https://letterboxd.com/film/mean-girls-2024/
Back to the Future Part II,https://letterboxd.com/film/back-to-the-future-part-ii/
Rosemary's Baby,https://letterboxd.com/film/rosemarys-baby/
Ocean's Eight,https://letterboxd.com/film/oceans-eight/
Heathers,https://letterboxd.com/film/heathers/
The Usual Suspects,https://letterboxd.com/film/the-usual-suspects/
Nomadland,https://letterboxd.com/film/nomadland/
The Idea of You,https://letterboxd.com/film/the-idea-of-you-2024/
Hacksaw Ridge,https://letterboxd.com/film/hacksaw-ridge/
Now You See Me,https://letterboxd.com/film/now-you-see-me/
