title,url
Don't Worry Darling,https://letterboxd.com/film/dont-worry-darling/
Edward Scissorhands,https://letterboxd.com/film/edward-scissorhands/
The Iron Claw,https://letterboxd.com/film/the-iron-claw-2023/
The Thing,https://letterboxd.com/film/the-thing/
12 Angry Men,https://letterboxd.com/film/12-angry-men/
Avengers: Age of Ultron,https://letterboxd.com/film/avengers-age-of-ultron/
The Martian,https://letterboxd.com/film/the-martian/
About Time,https://letterboxd.com/film/about-time/
Logan,https://letterboxd.com/film/logan-2017/
Mulholland Drive,https://letterboxd.com/film/mulholland-drive/
Harry Potter and the Half-Blood Prince,https://letterboxd.com/film/harry-potter-and-the-half-blood-prince/
Scarface,https://letterboxd.com/film/scarface-1983/
Bones and All,https://letterboxd.com/film/bones-and-all/
Fargo,https://letterboxd.com/film/fargo/
The Zone of Interest,https://letterboxd.com/film/the-zone-of-interest/
The Godfather Part II,https://letterboxd.com/film/the-godfather-part-ii/
Harry Potter and the Deathly Hallows: Part 1,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-1/
Jennifer's Body,https://letterboxd.com/film/jennifers-body/
Thor: Love and Thunder,https://letterboxd.com/film/thor-love-and-thunder/
Léon: The Professional,https://letterboxd.com/film/leon-the-professional/
Pirates of the Caribbean: The Curse of the Black Pearl,https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/
Kill Bill: Vol. 2,https://letterboxd.com/film/kill-bill-vol-2/
Birdman or (The Unexpected Virtue of Ignorance),https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/
Star Wars: Episode I – The Phantom Menace,https://letterboxd.com/film/star-wars-episode-i-the-phantom-menace/
No Hard Feelings,https://letterboxd.com/film/no-hard-feelings-2023/
The Suicide Squad,https://letterboxd.com/film/the-suicide-squad/
Trainspotting,https://letterboxd.com/film/trainspotting/
"Girl, Interrupted",https://letterboxd.com/film/girl-interrupted/
The Big Lebowski,https://letterboxd.com/film/the-big-lebowski/
"I, Tonya",https://letterboxd.com/film/i-tonya/
Last Night in Soho,https://letterboxd.com/film/last-night-in-soho/
The Amazing Spider-Man,https://letterboxd.com/film/the-amazing-spider-man/
Encanto,https://letterboxd.com/film/encanto/
Society of the Snow,https://letterboxd.com/film/society-of-the-snow/
The Virgin Suicides,https://letterboxd.com/film/the-virgin-suicides/
Ferris Bueller's Day Off,https://letterboxd.com/film/ferris-buellers-day-off/
Moonrise Kingdom,https://letterboxd.com/film/moonrise-kingdom/
Star Wars: The Last Jedi,https://letterboxd.com/film/star-wars-the-last-jedi/
Saving Private Ryan,https://letterboxd.com/film/saving-private-ryan/
Black Widow,https://letterboxd.com/film/black-widow-2021/
Eyes Wide Shut,https://letterboxd.com/film/eyes-wide-shut/
Beautiful Boy,https://letterboxd.com/film/beautiful-boy-2018/
Your Name.,https://letterboxd.com/film/your-name/
Captain America: The First Avenger,https://letterboxd.com/film/captain-america-the-first-avenger/
Captain Marvel,https://letterboxd.com/film/captain-marvel/
Rogue One: A Star Wars Story,https://letterboxd.com/film/rogue-one-a-star-wars-story/
Apocalypse Now,https://letterboxd.com/film/apocalypse-now/
The Nice Guys,https://letterboxd.com/film/the-nice-guys/
Five Nights at Freddy's,https://letterboxd.com/film/five-nights-at-freddys/
Shang-Chi and the Legend of the Ten Rings,https://letterboxd.com/film/shang-chi-and-the-legend-of-the-ten-rings/
The Florida Project,https://letterboxd.com/film/the-florida-project/
American Beauty,https://letterboxd.com/film/american-beauty/
Corpse Bride,https://letterboxd.com/film/corpse-bride/
The Great Gatsby,https://letterboxd.com/film/the-great-gatsby-2013/
Ant-Man,https://letterboxd.com/film/ant-man/
The Revenant,https://letterboxd.com/film/the-revenant-2015/
Civil War,https://letterboxd.com/film/civil-war-2024/
Alien: Romulus,https://letterboxd.com/film/alien-romulus/
The Worst Person in the World,https://letterboxd.com/film/the-worst-person-in-the-world/
The Favourite,https://letterboxd.com/film/the-favourite/
The Pianist,https://letterboxd.com/film/the-pianist/
Luca,https://letterboxd.com/film/luca-2021/
How to Lose a Guy in 10 Days,https://letterboxd.com/film/how-to-lose-a-guy-in-10-days/
Toy Story 3,https://letterboxd.com/film/toy-story-3/
In the Mood for Love,https://letterboxd.com/film/in-the-mood-for-love/
BlacKkKlansman,https://letterboxd.com/film/blackkklansman/
Elvis,https://letterboxd.com/film/elvis-2022/
Zootopia,https://letterboxd.com/film/zootopia/
Isle of Dogs,https://letterboxd.com/film/isle-of-dogs-2018/
Black Panther: Wakanda Forever,https://letterboxd.com/film/black-panther-wakanda-forever/
The Shape of Water,https://letterboxd.com/film/the-shape-of-water/
Smile,https://letterboxd.com/film/smile-2022/
