title,url
Do the Right Thing,https://letterboxd.com/film/do-the-right-thing/
Titane,https://letterboxd.com/film/titane/
The Princess and the Frog,https://letterboxd.com/film/the-princess-and-the-frog/
The Little Mermaid,https://letterboxd.com/film/the-little-mermaid-2023/
Spencer,https://letterboxd.com/film/spencer-2021/
The Talented Mr. Ripley,https://letterboxd.com/film/the-talented-mr-ripley/
Indiana Jones and the Temple of Doom,https://letterboxd.com/film/indiana-jones-and-the-temple-of-doom/
Before Midnight,https://letterboxd.com/film/before-midnight/
Aquaman,https://letterboxd.com/film/aquaman-2018/
The Evil Dead,https://letterboxd.com/film/the-evil-dead/
Edge of Tomorrow,https://letterboxd.com/film/edge-of-tomorrow/
Moneyball,https://letterboxd.com/film/moneyball/
Beauty and the Beast,https://letterboxd.com/film/beauty-and-the-beast-1991/
Nobody,https://letterboxd.com/film/nobody-2021/
Drive My Car,https://letterboxd.com/film/drive-my-car/
To All the Boys I've Loved Before,https://letterboxd.com/film/to-all-the-boys-ive-loved-before/
Kick-Ass,https://letterboxd.com/film/kick-ass/
Night at the Museum,https://letterboxd.com/film/night-at-the-museum/
Old,https://letterboxd.com/film/old-2021/
Dream Scenario,https://letterboxd.com/film/dream-scenario/
World War Z,https://letterboxd.com/film/world-war-z/
Kingdom of the Planet of the Apes,https://letterboxd.com/film/kingdom-of-the-planet-of-the-apes/
Prometheus,https://letterboxd.com/film/prometheus/
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://letterboxd.com/film/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe/
Teenage Mutant Ninja Turtles: Mutant Mayhem,https://letterboxd.com/film/teenage-mutant-ninja-turtles-mutant-mayhem/
Dirty Dancing,https://letterboxd.com/film/dirty-dancing/
Eighth Grade,https://letterboxd.com/film/eighth-grade/
Cinema Paradiso,https://letterboxd.com/film/cinema-paradiso/
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,https://letterboxd.com/film/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan/
Hercules,https://letterboxd.com/film/hercules-1997/
Shazam!,https://letterboxd.com/film/shazam/
28 Days Later,https://letterboxd.com/film/28-days-later/
Monty Python and the Holy Grail,https://letterboxd.com/film/monty-python-and-the-holy-grail/
Life Is Beautiful,https://letterboxd.com/film/life-is-beautiful/
The Proposal,https://letterboxd.com/film/the-proposal-2009/
The Hunt,https://letterboxd.com/film/the-hunt-2012/
Rocketman,https://letterboxd.com/film/rocketman-2019/
War for the Planet of the Apes,https://letterboxd.com/film/war-for-the-planet-of-the-apes/
Snatch,https://letterboxd.com/film/snatch/
Pirates of the Caribbean: At World's End,https://letterboxd.com/film/pirates-of-the-caribbean-at-worlds-end/
Normal People,https://letterboxd.com/film/normal-people-2020/
X-Men,https://letterboxd.com/film/x-men/
In Bruges,https://letterboxd.com/film/in-bruges/
Mission: Impossible – Fallout,https://letterboxd.com/film/mission-impossible-fallout/
Man of Steel,https://letterboxd.com/film/man-of-steel/
Stalker,https://letterboxd.com/film/stalker/
Climax,https://letterboxd.com/film/climax-2018/
Jackie Brown,https://letterboxd.com/film/jackie-brown/
Emma.,https://letterboxd.com/film/emma-2020/
Ted,https://letterboxd.com/film/ted/
The Holiday,https://letterboxd.com/film/the-holiday/
The Iron Giant,https://letterboxd.com/film/the-iron-giant/
Into the Wild,https://letterboxd.com/film/into-the-wild/
Mysterious Skin,https://letterboxd.com/film/mysterious-skin/
Indiana Jones and the Dial of Destiny,https://letterboxd.com/film/indiana-jones-and-the-dial-of-destiny/
Baby Reindeer,https://letterboxd.com/film/baby-reindeer/
Frozen II,https://letterboxd.com/film/frozen-2/
The Graduate,https://letterboxd.com/film/the-graduate/
Chinatown,https://letterboxd.com/film/chinatown/
Romeo + Juliet,https://letterboxd.com/film/romeo-juliet-1996/
Rango,https://letterboxd.com/film/rango/
Blue Valentine,https://letterboxd.com/film/blue-valentine/
The Wonderful Story of Henry Sugar,https://letterboxd.com/film/the-wonderful-story-of-henry-sugar/
The Hobbit: The Desolation of Smaug,https://letterboxd.com/film/the-hobbit-the-desolation-of-smaug/
The Fly,https://letterboxd.com/film/the-fly-1986/
Cast Away,https://letterboxd.com/film/cast-away/
Air,https://letterboxd.com/film/air-2023/
The Mitchells vs. the Machines,https://letterboxd.com/film/the-mitchells-vs-the-machines/
We Live in Time,https://letterboxd.com/film/we-live-in-time/
Spotlight,https://letterboxd.com/film/spotlight/
Me Before You,https://letterboxd.com/film/me-before-you/
10 Cloverfield Lane,https://letterboxd.com/film/10-cloverfield-lane/
