name,director,genre_1,genre_2,actor,release_date,average_rating,reviewer_name,review_rating,review_text,poster_url,game_date
The Lion King,Roger Allers,Animation,Family,Matthew Broderick,1994,4.2,Ralph,5,I like the part when Timon said the bug tasted like chicken. Haha how would he know? The rest of the movie was pretty good too.,https://a.ltrbxd.com/resized/sm/upload/lz/96/yu/mf/ztuEReeV6ofpU1HxUV9AsR6aLoe-0-230-0-345-crop.jpg?v=47499379fa,2024-11-26
Star Wars: Episode III – Revenge of the Sith,George Lucas,Science Fiction,Adventure,Hayden Christensen,2005,3.9,ciara,4,noooo anakin don’t turn to the dark side you’re so sexy aha,https://a.ltrbxd.com/resized/film-poster/5/0/7/0/9/50709-star-wars-episode-iii-revenge-of-the-sith-0-230-0-345-crop.jpg?v=cdb8caab10,2024-11-27
Se7en,David Fincher,Crime,Mystery,Morgan Freeman,1995,4.3,Wes,4.5,"my mom said that this is the scariest film shes ever seen and she saw it while she was pregnant with me, and im 100% convinced she could have gone into stress-induced labor during the opening credits sequence so...thanks david fincher for coming for my life before i was even born",https://a.ltrbxd.com/resized/film-poster/5/1/3/4/5/51345-se7en-0-230-0-345-crop.jpg?v=76a14ef6b4,2024-11-28
The Incredibles,Brad Bird,Animation,Family,Craig T. Nelson,2004,4.1,sree,4.5,14 years later i'm still the kid on the tricycle,https://a.ltrbxd.com/resized/film-poster/4/6/8/0/6/46806-the-incredibles-0-230-0-345-crop.jpg?v=dce597a185,2024-11-29
Spider-Man: Homecoming,Jon Watts,Action,Drama,Tom Holland,2017,3.5,˗ˏˋ suspirliam ˊˎ˗,4,"so, you got detention ‼️🤭 you screwed up 👎 you know what you did was wrong 😔 the question is, how are you going to make things right? 🤔🤔🤔 maybe you were trying to be cool 🤙 take it from a guy who's been frozen for 65 years ☃️❄️ the only way to really be cool is to follow the rules 🤓 we all know what's right ✅ we all know what's wrong ❌ next time those turkeys 🦃 try to convince you to do something that you know is wrong, just think to yourself, ""what would captain america do?"" 🇺🇸🤠✌️",https://a.ltrbxd.com/resized/film-poster/2/4/2/7/1/0/242710-spider-man-homecoming-0-230-0-345-crop.jpg?v=61e8c57229,2024-11-30
Puss in Boots: The Last Wish,Joel Crawford,Animation,Family,Antonio Banderas,2022,4.1,Salty,5,Everyone gangsta until The Big Bad Wolf starts whistling,https://a.ltrbxd.com/resized/film-poster/2/4/2/2/8/5/242285-puss-in-boots-the-last-wish-0-230-0-345-crop.jpg?v=9e9109c5cd,2024-12-01
Pulp Fiction,Quentin Tarantino,Crime,Thriller,John Travolta,1994,4.3,kas17,3,a good movie but god imagine my fucking disappointment when i found out the movie wasn't all about mia wallace nobody cares about you bruce willis,https://a.ltrbxd.com/resized/film-poster/5/1/4/4/4/51444-pulp-fiction-0-230-0-345-crop.jpg?v=dee19a8077,2024-12-02
Everything Everywhere All at Once,Daniel Scheinert,Science Fiction,Adventure,Michelle Yeoh,2022,4.3,Karsten,4,easily one of the top 5 movies about taxes,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-230-0-345-crop.jpg?v=281f1a041e,2024-12-03
