title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
Legally Blonde,Robert Luketic,Romance,Comedy,Reese Witherspoon,2001,3.8,shay,4.0,"the ""WHAT, like it's hard?"" line in this film > the godfather trilogy",https://a.ltrbxd.com/resized/film-poster/4/7/5/8/6/47586-legally-blonde-0-230-0-345-crop.jpg?v=683a318854,2024-12-02
Legally Blonde,Robert Luketic,Romance,Comedy,Reese Witherspoon,2001,3.8,molly,5.0,elle woods was at harvard at the same time as mark zuckerberg,https://a.ltrbxd.com/resized/film-poster/4/7/5/8/6/47586-legally-blonde-0-230-0-345-crop.jpg?v=683a318854,2024-12-02
Moana,Ron Clements,Animation,Adventure,Auliʻi Cravalho,2016,3.7,Kait,4.0,I had to go to the campus health center tonight bc I was having an anxiety attack and the nurse let me watch this on her computer so shoutout to jennifer,https://a.ltrbxd.com/resized/film-poster/2/0/1/9/0/9/201909-moana-0-230-0-345-crop.jpg?v=cfeffc2eaa,2024-12-03
Moana,Ron Clements,Animation,Adventure,Auliʻi Cravalho,2016,3.7,shay,5.0,frozen (2013) found dead in miami,https://a.ltrbxd.com/resized/film-poster/2/0/1/9/0/9/201909-moana-0-230-0-345-crop.jpg?v=cfeffc2eaa,2024-12-03
Moana,Ron Clements,Animation,Adventure,Auliʻi Cravalho,2016,3.7,robert,0.0,well at least it wasn't called some bullshit like 'wet',https://a.ltrbxd.com/resized/film-poster/2/0/1/9/0/9/201909-moana-0-230-0-345-crop.jpg?v=cfeffc2eaa,2024-12-03
The Conjuring,James Wan,Horror,Thriller,Patrick Wilson,2013,3.6,p e r s i a 🍒,3.5,i’m just saying......if ed and lorraine warren asked me to be in a throuple with them................i wouldn’t say no........,https://a.ltrbxd.com/resized/film-poster/1/0/6/2/6/2/106262-the-conjuring-0-230-0-345-crop.jpg?v=8cbb976912,2024-12-04
The Conjuring,James Wan,Horror,Thriller,Patrick Wilson,2013,3.6,Karsten,3.5,This is a movie about sideburns,https://a.ltrbxd.com/resized/film-poster/1/0/6/2/6/2/106262-the-conjuring-0-230-0-345-crop.jpg?v=8cbb976912,2024-12-04
The Conjuring,James Wan,Horror,Thriller,Patrick Wilson,2013,3.6,•lily•,3.5,How was Joey King better at acting when she was 13 than she is now 😭😭,https://a.ltrbxd.com/resized/film-poster/1/0/6/2/6/2/106262-the-conjuring-0-230-0-345-crop.jpg?v=8cbb976912,2024-12-04
Furiosa: A Mad Max Saga,George Miller,Science Fiction,Adventure,Anya Taylor-Joy,2024,3.8,Jesse Dixon,2.0,"it’s furiOsa, not furioSA.",https://a.ltrbxd.com/resized/film-poster/7/0/5/2/2/1/705221-furiosa-a-mad-max-saga-0-230-0-345-crop.jpg?v=3c0e322842,2024-12-05
Furiosa: A Mad Max Saga,George Miller,Science Fiction,Adventure,Anya Taylor-Joy,2024,3.8,mariano,5.0,never seen anyone act so nonchalant after getting their nipples ripped off,https://a.ltrbxd.com/resized/film-poster/7/0/5/2/2/1/705221-furiosa-a-mad-max-saga-0-230-0-345-crop.jpg?v=3c0e322842,2024-12-05
Furiosa: A Mad Max Saga,George Miller,Science Fiction,Adventure,Anya Taylor-Joy,2024,3.8,James (Schaffrillas),4.0,"Sickest damn revenge I've ever seen in a movie. Diabolical.
Shoutout to that guy at the Cinemark who recognized me! I would say you made my day, but like, I watched Furiosa right after soooooo",https://a.ltrbxd.com/resized/film-poster/7/0/5/2/2/1/705221-furiosa-a-mad-max-saga-0-230-0-345-crop.jpg?v=3c0e322842,2024-12-05
The Hateful Eight,Quentin Tarantino,Mystery,Western,Samuel L. Jackson,2015,4.0,Ralph,4.0,"Just finished the extended version which I liked. The characters are more fleshed out, there are more clever set ups and foreshadowing. It's a different experience from the film and worth a watch for both fans and those who've never seen it.
NOTE: There was one frame that wasn't rendered in episode 3 which was very odd. Please fix that Netflix. This crew didn't bust their asses to shoot this in 70mm just to have an intern not render the export properly.",https://a.ltrbxd.com/resized/film-poster/1/9/7/0/1/2/197012-the-hateful-eight-0-230-0-345-crop.jpg?v=0428be5b84,2024-12-06
The Hateful Eight,Quentin Tarantino,Mystery,Western,Samuel L. Jackson,2015,4.0,Eli Hayes,4.5,"""Youuuu gonnaaaa maaaake aaaa deaaalll
withhh thissss diaaabolicaaalll biiiiiiiiitch!?!""
Hugely visceral & downright disgusting.
Tarantino's best film since the 1990s.
Jennifer Jason Leigh steals the show.
(Honorable mention for Goggins, obviously.)",https://a.ltrbxd.com/resized/film-poster/1/9/7/0/1/2/197012-the-hateful-eight-0-230-0-345-crop.jpg?v=0428be5b84,2024-12-06
Star Wars: Episode II – Attack of the Clones,George Lucas,Action,Science Fiction,Hayden Christensen,2002,2.9,clownhead,2.0,"you: george lucas can’t write dialogue
me, absolutely tearing myself apart with hysterical laughter after witnessing c3po’s disembodied head look sadly at his body and say “i’m beside myself” in a dejected tone: you fools. you absolute lowbrow heathens. how could you not understand the depth of this message",https://a.ltrbxd.com/resized/film-poster/5/0/7/1/0/50710-star-wars-episode-ii-attack-of-the-clones-0-230-0-345-crop.jpg?v=cdb8caab10,2024-12-07
