title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
Do the Right Thing,Spike Lee,Drama,,Danny Aiello,1989,4.4,evilbjork,5.0,"""It's a free country isn't it?""
""I should knock you out for saying that dumb shit alone!""",https://a.ltrbxd.com/resized/sm/upload/zm/fz/vn/ie/obNQLtdeJy3IiKnExWoWBJH8V67-0-230-0-345-crop.jpg?v=b4926532f8,2024-12-02
Titane,Julia Ducournau,Thriller,Horror,Vincent Lindon,2021,3.6,viking,4.5,me the whole movie: i would like to see the baby,https://a.ltrbxd.com/resized/film-poster/5/5/6/5/5/3/556553-titane-0-230-0-345-crop.jpg?v=1383f3a942,2024-12-03
Titane,Julia Ducournau,Thriller,Horror,Vincent Lindon,2021,3.6,Jeff 🇵🇸,5.0,eraserhead but for the LGBTQ community,https://a.ltrbxd.com/resized/film-poster/5/5/6/5/5/3/556553-titane-0-230-0-345-crop.jpg?v=1383f3a942,2024-12-03
The Princess and the Frog,Ron Clements,Animation,Romance,Anika Noni Rose,2009,3.9,lain,5.0,i wish i had even a fraction of tiana's work ethic,https://a.ltrbxd.com/resized/sm/upload/hl/8a/0u/3l/bVRHirC6uIZL9VtRqYRxdedYnOG-0-230-0-345-crop.jpg?v=4a94cf20d3,2024-12-04
The Princess and the Frog,Ron Clements,Animation,Romance,Anika Noni Rose,2009,3.9,Robin,4.5,This movie had so much jazz and they didn't thank Ryan Gosling once? Uncool.,https://a.ltrbxd.com/resized/sm/upload/hl/8a/0u/3l/bVRHirC6uIZL9VtRqYRxdedYnOG-0-230-0-345-crop.jpg?v=4a94cf20d3,2024-12-04
The Princess and the Frog,Ron Clements,Animation,Romance,Anika Noni Rose,2009,3.9,👽hayley👽,3.5,where the FUCK did that crocodile get that trumpet it just.... came out of nowhere,https://a.ltrbxd.com/resized/sm/upload/hl/8a/0u/3l/bVRHirC6uIZL9VtRqYRxdedYnOG-0-230-0-345-crop.jpg?v=4a94cf20d3,2024-12-04
The Little Mermaid,Rob Marshall,Family,Fantasy,Halle Bailey,2023,3.2,24framesofnick,2.0,I watched it high and Sebastian was freaking me the fuck out,https://a.ltrbxd.com/resized/film-poster/3/7/9/5/9/1/379591-the-little-mermaid-0-230-0-345-crop.jpg?v=2baa748592,2024-12-05
The Little Mermaid,Rob Marshall,Family,Fantasy,Halle Bailey,2023,3.2,the film drunk,3.0,"I know a Lin-Manuel Miranda song when I hear it
I’m talking to you Scuttlebutt",https://a.ltrbxd.com/resized/film-poster/3/7/9/5/9/1/379591-the-little-mermaid-0-230-0-345-crop.jpg?v=2baa748592,2024-12-05
The Little Mermaid,Rob Marshall,Family,Fantasy,Halle Bailey,2023,3.2,jeaba,3.5,ariel lowkey a freak for wanting feet that bad,https://a.ltrbxd.com/resized/film-poster/3/7/9/5/9/1/379591-the-little-mermaid-0-230-0-345-crop.jpg?v=2baa748592,2024-12-05
Spencer,Pablo Larraín,Drama,History,Kristen Stewart,2021,3.7,Jay,4.5,"kristen stewart is again accepted into a family of blood sucking demons, this time with horrific consequences!",https://a.ltrbxd.com/resized/film-poster/6/3/9/5/5/9/639559-spencer-0-230-0-345-crop.jpg?v=33938ea371,2024-12-06
Spencer,Pablo Larraín,Drama,History,Kristen Stewart,2021,3.7,♱,5.0,"the way men acted when the joker came out, this is my joker except i will be so much worse",https://a.ltrbxd.com/resized/film-poster/6/3/9/5/5/9/639559-spencer-0-230-0-345-crop.jpg?v=33938ea371,2024-12-06
Spencer,Pablo Larraín,Drama,History,Kristen Stewart,2021,3.7,davidehrlich,3.5,listening to Jonny Greenwood slowly earn his eventual status as one of the greatest composers in film history is one of those things that makes life just a little more bearable.,https://a.ltrbxd.com/resized/film-poster/6/3/9/5/5/9/639559-spencer-0-230-0-345-crop.jpg?v=33938ea371,2024-12-06
The Talented Mr. Ripley,Anthony Minghella,Crime,Drama,Matt Damon,1999,3.8,Isaac Feldberg,4.0,"call me by your name, and then i will also call myself by your name",https://a.ltrbxd.com/resized/film-poster/5/1/1/3/8/51138-the-talented-mr-ripley-0-230-0-345-crop.jpg?v=70e0a57506,2024-12-07
The Talented Mr. Ripley,Anthony Minghella,Crime,Drama,Matt Damon,1999,3.8,aliciabr,4.0,tbh if 1999 jude law called me boring I would apologize and immediately drown myself to not inconvenience him any further,https://a.ltrbxd.com/resized/film-poster/5/1/1/3/8/51138-the-talented-mr-ripley-0-230-0-345-crop.jpg?v=70e0a57506,2024-12-07
Indiana Jones and the Temple of Doom,Steven Spielberg,Action,Adventure,Harrison Ford,1984,3.6,Karsten,3.5,"nobody is talking about the mine cart scene, huge fan of the mine cart scene",https://a.ltrbxd.com/resized/film-poster/5/1/9/6/3/51963-indiana-jones-and-the-temple-of-doom-0-230-0-345-crop.jpg?v=b5122bf2cf,2024-12-08
Indiana Jones and the Temple of Doom,Steven Spielberg,Action,Adventure,Harrison Ford,1984,3.6,gal pacino,3.0,"THANK YOU MR. SPIELBERG FOR THE SINGULAR TORN-OFF SLEEVE!! PERFECTLY SYMBOLIZES INDY’S TWO SIDES: HOT PROFESSOR BY DAY, HOT ARCHEOLOGIST ALSO BY DAY!! GENIUS!!!! GENIUS I TELLS YA!!!!!  ASK ANYONE — I CAN’T SHUT UP ABOUT THIS FRICKIN SLEEVE!!!!!!!!!!",https://a.ltrbxd.com/resized/film-poster/5/1/9/6/3/51963-indiana-jones-and-the-temple-of-doom-0-230-0-345-crop.jpg?v=b5122bf2cf,2024-12-08
Indiana Jones and the Temple of Doom,Steven Spielberg,Action,Adventure,Harrison Ford,1984,3.6,gal pacino,2.5,the best part of this movie is how indy is just ..... soaked in sweat from beginning to end. the man is constantly drenched no matter what he’s wearing or how he’s feeling and it’s so funny that it almost transcends the movie’s extreme racism. almost ,https://a.ltrbxd.com/resized/film-poster/5/1/9/6/3/51963-indiana-jones-and-the-temple-of-doom-0-230-0-345-crop.jpg?v=b5122bf2cf,2024-12-08
Before Midnight,Richard Linklater,Drama,Romance,Ethan Hawke,2013,4.1,#1 gizmo fan,5.0,"""If you want true love, then this is it.""
I love being depressed and wanting to die!",https://a.ltrbxd.com/resized/film-poster/1/0/2/4/4/4/102444-before-midnight-0-230-0-345-crop.jpg?v=ce6aba20f1,2024-12-09
Aquaman,James Wan,Fantasy,Action,Jason Momoa,2018,2.8,IHE,0.0,Oh my god I am so flustered by this movie I have no idea what to even rate it I mean it’s kind of a massive joke and it’s way too long and the dialogue is hilarious but it’s so off the wall nuts that it never ceases to be entertaining despite the story literally just being black panther in reverse but with giant crabs and sharks fighting eachother I genuinely thought I was losing my mind oh my god my brain,https://a.ltrbxd.com/resized/film-poster/2/2/5/0/6/0/225060-aquaman-0-230-0-345-crop.jpg?v=a5a1c0b649,2024-12-10
Aquaman,James Wan,Fantasy,Action,Jason Momoa,2018,2.8,IHE,5.0,Intense. Emotional. Epic.,https://a.ltrbxd.com/resized/film-poster/2/2/5/0/6/0/225060-aquaman-0-230-0-345-crop.jpg?v=a5a1c0b649,2024-12-10
The Evil Dead,Sam Raimi,Horror,,Bruce Campbell,1981,3.7,aliyah,4.5,i love movies that just don’t give a fuck. character building? WHO CARES? BLOOD!,https://a.ltrbxd.com/resized/sm/upload/c7/4g/ae/zn/7cpSdCrBY7UhiygkcP57dpixXsW-0-230-0-345-crop.jpg?v=1525e98692,2024-12-11
The Evil Dead,Sam Raimi,Horror,,Bruce Campbell,1981,3.7,Lucy,4.0,gore? heard of it,https://a.ltrbxd.com/resized/sm/upload/c7/4g/ae/zn/7cpSdCrBY7UhiygkcP57dpixXsW-0-230-0-345-crop.jpg?v=1525e98692,2024-12-11
Edge of Tomorrow,Doug Liman,Science Fiction,Action,Tom Cruise,2014,3.8,Erik 🎼,5.0,wish MY life was just emily blunt shooting me point blank in the face every day,https://a.ltrbxd.com/resized/film-poster/1/0/5/1/8/3/105183-edge-of-tomorrow-0-230-0-345-crop.jpg?v=114551fc99,2024-12-12
Edge of Tomorrow,Doug Liman,Science Fiction,Action,Tom Cruise,2014,3.8,David Sims,5.0,emily blunt big sword,https://a.ltrbxd.com/resized/film-poster/1/0/5/1/8/3/105183-edge-of-tomorrow-0-230-0-345-crop.jpg?v=114551fc99,2024-12-12
Moneyball,Bennett Miller,Drama,,Brad Pitt,2011,3.9,Patrick Willems,4.0,The skill with which Brad Pitt stuffs an entire Twinkie in his mouth mid-dialogue scene,https://a.ltrbxd.com/resized/sm/upload/h1/fd/pz/pi/3oAa8mJJ97CH9AeGEY6vjAxqcvZ-0-230-0-345-crop.jpg?v=3ce471493f,2024-12-13
Beauty and the Beast,Gary Trousdale,Romance,Fantasy,Paige O'Hara,1991,3.9,James (Schaffrillas),5.0,"""Stockholm syndrome this,"" ""stockholm syndrome that."" How bout you stock up on four dozen eggs every morning to help you get large",https://a.ltrbxd.com/resized/sm/upload/qw/zu/zk/ky/iLe8yMOF5we6lvYbKLHzho7ATQk-0-230-0-345-crop.jpg?v=c4c6ebbfa3,2024-12-14
Beauty and the Beast,Gary Trousdale,Romance,Fantasy,Paige O'Hara,1991,3.9,gal pacino,3.0,still don't really get why she ends up with a really big bear and not the sexy candle,https://a.ltrbxd.com/resized/sm/upload/qw/zu/zk/ky/iLe8yMOF5we6lvYbKLHzho7ATQk-0-230-0-345-crop.jpg?v=c4c6ebbfa3,2024-12-14
Nobody,Ilya Naishuller,Action,Thriller,Bob Odenkirk,2021,3.5,silkymovies,4.0,In the middle of the movie my dad leaned over and whispered “this is my black panther”,https://a.ltrbxd.com/resized/film-poster/5/4/2/5/5/5/542555-nobody-0-230-0-345-crop.jpg?v=eab2f81e32,2024-12-15
