title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
Don't Worry Darling,Olivia Wilde,Mystery,Thriller,Florence Pugh,2022,3.0,Alle,4.0,Movie about the dangers of letting men have and listen to podcasts,https://a.ltrbxd.com/resized/film-poster/5/4/6/3/4/7/546347-don-t-worry-darling-0-230-0-345-crop.jpg?v=f458525152,2024-12-02
Don't Worry Darling,Olivia Wilde,Mystery,Thriller,Florence Pugh,2022,3.0,Hannah Bensley,0.0,"my favorite thing about the movie is that it feels like a movie. it feels like a real like, you know go to the theatre, film, movie",https://a.ltrbxd.com/resized/film-poster/5/4/6/3/4/7/546347-don-t-worry-darling-0-230-0-345-crop.jpg?v=f458525152,2024-12-02
Edward Scissorhands,Tim Burton,Drama,Romance,Johnny Depp,1990,3.9,Jenno Maes,4.0,"Edward: ✂️ 👁 👄 👁 ✂️ 
Hot milfs in the area: 🙈😜😘🤩😏",https://a.ltrbxd.com/resized/film-poster/5/1/8/8/9/51889-edward-scissorhands-0-230-0-345-crop.jpg?v=38f2599419,2024-12-03
Edward Scissorhands,Tim Burton,Drama,Romance,Johnny Depp,1990,3.9,•lily•,5.0,I too would wreck almost an entire house if Winona Ryder wasn’t going out with me,https://a.ltrbxd.com/resized/film-poster/5/1/8/8/9/51889-edward-scissorhands-0-230-0-345-crop.jpg?v=38f2599419,2024-12-03
Edward Scissorhands,Tim Burton,Drama,Romance,Johnny Depp,1990,3.9,mommy longlegs,5.0,why did vincent price think it was okay to give this man scissors for hands,https://a.ltrbxd.com/resized/film-poster/5/1/8/8/9/51889-edward-scissorhands-0-230-0-345-crop.jpg?v=38f2599419,2024-12-03
The Iron Claw,Sean Durkin,History,Drama,Zac Efron,2023,4.1,Ayo Edebiri,0.0,"🕯️
                 🕯️                🕯️
         🕯️                                🕯️
🕯️  Zack Efron Oscar Nominee  🕯️
          🕯️                                 🕯️
                 🕯️                 🕯️
                            🕯️
                           🙏🏾",https://a.ltrbxd.com/resized/film-poster/7/6/4/8/9/0/764890-the-iron-claw-0-230-0-345-crop.jpg?v=321a07c4f2,2024-12-04
The Thing,John Carpenter,Mystery,Science Fiction,Kurt Russell,1982,4.4,Karsten,5.0,a bit of a downer to watch this before embarking on a trip to Antarctica with my boys tomorrow,https://a.ltrbxd.com/resized/sm/upload/t3/qn/vs/p5/s5fH3GqFcHbi2F0NSBSh4KRNTc0-0-230-0-345-crop.jpg?v=01880125bb,2024-12-05
The Thing,John Carpenter,Mystery,Science Fiction,Kurt Russell,1982,4.4,DirkH,5.0,"100% pure horror.
100% complete paranoia.
100% practical effects.
100% proof that horror doesn't need CGI.
100% inimitable.
100% Carpenter
100% timeless. (it's 38 years old!!)
100% terrifying. Still.
100% visual masterpiece.
100% mold breaking.
1000% One of my favourite horror films ever made.

p.s. Math was never my strong point.",https://a.ltrbxd.com/resized/sm/upload/t3/qn/vs/p5/s5fH3GqFcHbi2F0NSBSh4KRNTc0-0-230-0-345-crop.jpg?v=01880125bb,2024-12-05
12 Angry Men,Sidney Lumet,Drama,,Martin Balsam,1957,4.6,Lia Allison,5.0,That was the best 1.5 hours of middle aged white dudes yelling at each other that I've ever seen.,https://a.ltrbxd.com/resized/film-poster/5/1/7/0/0/51700-12-angry-men-0-230-0-345-crop.jpg?v=b8aaf291a9,2024-12-06
12 Angry Men,Sidney Lumet,Drama,,Martin Balsam,1957,4.6,amaya,4.0,"the 3 best angry men
1. henry fonda
2. mustache
3. dude who doesn't sweat
the 3 worst angry men
1. the one who wants to go to his stupid baseball game shut the fuck up oh my god
2. racist
3. racist",https://a.ltrbxd.com/resized/film-poster/5/1/7/0/0/51700-12-angry-men-0-230-0-345-crop.jpg?v=b8aaf291a9,2024-12-06
12 Angry Men,Sidney Lumet,Drama,,Martin Balsam,1957,4.6,Roberto_,5.0,when they all start ignoring the racist... one of the best scenes in cinema history there is no reasonable doubt!,https://a.ltrbxd.com/resized/film-poster/5/1/7/0/0/51700-12-angry-men-0-230-0-345-crop.jpg?v=b8aaf291a9,2024-12-06
Avengers: Age of Ultron,Joss Whedon,Action,Adventure,Robert Downey Jr.,2015,3.1,sree,0.5,directed by joss whedon AND centered around hawkeye... damn ma pick a struggle,https://a.ltrbxd.com/resized/film-poster/8/1/6/0/5/81605-avengers-age-of-ultron-0-230-0-345-crop.jpg?v=d315efaff1,2024-12-07
Avengers: Age of Ultron,Joss Whedon,Action,Adventure,Robert Downey Jr.,2015,3.1,elliebean,3.0,whoever green lit natasha and bruce’s sudden relationship is my enemy and they must be stopped,https://a.ltrbxd.com/resized/film-poster/8/1/6/0/5/81605-avengers-age-of-ultron-0-230-0-345-crop.jpg?v=d315efaff1,2024-12-07
Avengers: Age of Ultron,Joss Whedon,Action,Adventure,Robert Downey Jr.,2015,3.1,alor,4.0,I love Elizabeth Olsen,https://a.ltrbxd.com/resized/film-poster/8/1/6/0/5/81605-avengers-age-of-ultron-0-230-0-345-crop.jpg?v=d315efaff1,2024-12-07
The Martian,Ridley Scott,Drama,Science Fiction,Matt Damon,2015,3.8,adambolt,4.0,when your friends make a new group chat without you,https://a.ltrbxd.com/resized/film-poster/2/1/1/5/1/1/211511-the-martian-0-230-0-345-crop.jpg?v=71ca0c832e,2024-12-08
The Martian,Ridley Scott,Drama,Science Fiction,Matt Damon,2015,3.8,özzy,3.5,"matt damon: *eats a boiled potato*
me: now that;s cinema",https://a.ltrbxd.com/resized/film-poster/2/1/1/5/1/1/211511-the-martian-0-230-0-345-crop.jpg?v=71ca0c832e,2024-12-08
The Martian,Ridley Scott,Drama,Science Fiction,Matt Damon,2015,3.8,davidehrlich,2.0,"in space, literally everyone can hear you tell & tell & tell & not show for 2 hours of tedious science porn in crap 3D.
Abba, tho.",https://a.ltrbxd.com/resized/film-poster/2/1/1/5/1/1/211511-the-martian-0-230-0-345-crop.jpg?v=71ca0c832e,2024-12-08
About Time,Richard Curtis,Fantasy,Romance,Domhnall Gleeson,2013,4.0,mulaney,5.0,this is the film equivalent of a warm hug,https://a.ltrbxd.com/resized/sm/upload/uo/th/yf/uz/zSuh8dGwqpsWR7ccvYbfxbSZ37o-0-230-0-345-crop.jpg?v=7276b6e978,2024-12-09
About Time,Richard Curtis,Fantasy,Romance,Domhnall Gleeson,2013,4.0,cathy,4.5,"scientist: richard have u even heard of the butterfly effect?
richard curtis (with tears in his eyes): have you heard of love?",https://a.ltrbxd.com/resized/sm/upload/uo/th/yf/uz/zSuh8dGwqpsWR7ccvYbfxbSZ37o-0-230-0-345-crop.jpg?v=7276b6e978,2024-12-09
Logan,James Mangold,Drama,Science Fiction,Hugh Jackman,2017,4.1,James (Schaffrillas),4.5,Imagine thinking this isn't the best superhero movie of the 2010s lmfao,https://a.ltrbxd.com/resized/sm/upload/f3/ub/fq/f5/gGBu0hKw9BGddG8RkRAMX7B6NDB-0-230-0-345-crop.jpg?v=523ca1f161,2024-12-10
Logan,James Mangold,Drama,Science Fiction,Hugh Jackman,2017,4.1,shannon,4.5,BUT SHE CHANGED IT TO AN X AND NOW I'M CRYING AND I DON'T THINK I'LL EVER STOP,https://a.ltrbxd.com/resized/sm/upload/f3/ub/fq/f5/gGBu0hKw9BGddG8RkRAMX7B6NDB-0-230-0-345-crop.jpg?v=523ca1f161,2024-12-10
Logan,James Mangold,Drama,Science Fiction,Hugh Jackman,2017,4.1,Lucy,3.5,this sequel to the last of us was wild,https://a.ltrbxd.com/resized/sm/upload/f3/ub/fq/f5/gGBu0hKw9BGddG8RkRAMX7B6NDB-0-230-0-345-crop.jpg?v=523ca1f161,2024-12-10
Mulholland Drive,David Lynch,Mystery,Drama,Naomi Watts,2001,4.2,Mitsi F.,5.0,This is La La Land’s evil twin,https://a.ltrbxd.com/resized/sm/upload/kv/7n/p8/tv/fMC8JBWx2VjsJ53JopAcFjqmlYv-0-230-0-345-crop.jpg?v=3d69c00608,2024-12-11
