title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
Magnolia,Paul Thomas Anderson,Drama,,Tom Cruise,1999,4.2,amaya,4.0,when tom cruise yelled RESPECT THE COCK!! i thought oh okay this is going to be fun and then i cried for 2 hours,https://a.ltrbxd.com/resized/film-poster/5/1/7/2/8/51728-magnolia-0-230-0-345-crop.jpg?v=178b5e5c17,2024-12-02
Groundhog Day,Harold Ramis,Comedy,Drama,Bill Murray,1993,3.8,Matt Singer,5.0,The story of a man who thinks he's a god who actually becomes a god and finally learns how to be a man.,https://a.ltrbxd.com/resized/film-poster/5/1/9/1/4/51914-groundhog-day-0-230-0-345-crop.jpg?v=9361c0080d,2024-12-03
Groundhog Day,Harold Ramis,Comedy,Drama,Bill Murray,1993,3.8,Zach a.m.,4.0,Seemed a bit repetitive.,https://a.ltrbxd.com/resized/film-poster/5/1/9/1/4/51914-groundhog-day-0-230-0-345-crop.jpg?v=9361c0080d,2024-12-03
I'm Thinking of Ending Things,Charlie Kaufman,Mystery,Drama,Jesse Plemons,2020,3.5,Morgan,0.5,I’m Thinking of Ending My Netflix Subscription,https://a.ltrbxd.com/resized/film-poster/4/3/0/8/0/6/430806-i-m-thinking-of-ending-things-0-230-0-345-crop.jpg?v=16bd3ec573,2024-12-04
Squid Game,Hwang Dong-hyuk,Drama,Mystery,,2021,3.7,aksel,4.5,okay mr beast went too far this time,https://a.ltrbxd.com/resized/film-poster/7/8/7/1/8/1/787181-squid-game-0-230-0-345-crop.jpg?v=30df565bc3,2024-12-05
American Fiction,Cord Jefferson,Comedy,Drama,Jeffrey Wright,2023,3.7,Ayo Edebiri,0.0,"Super enjoyable in a theater and full of some great performances. One of my favorite books ever, also — would highly recommend. 
Capturing Jeffrey Wright trying to eat an olive is one of the reasons the camera was invented 
Erica Alexander saying “you been acting like a weirdo for weeks” is also another",https://a.ltrbxd.com/resized/film-poster/9/5/2/8/1/2/952812-american-fiction-0-230-0-345-crop.jpg?v=fbc2c6daf1,2024-12-06
American Fiction,Cord Jefferson,Comedy,Drama,Jeffrey Wright,2023,3.7,john,3.5,"In context, ""I just think it's essential to listen to Black voices right now"" is the best line in a movie in 2023.",https://a.ltrbxd.com/resized/film-poster/9/5/2/8/1/2/952812-american-fiction-0-230-0-345-crop.jpg?v=fbc2c6daf1,2024-12-06
American Fiction,Cord Jefferson,Comedy,Drama,Jeffrey Wright,2023,3.7,David Sims,3.5,I am going to forgive a LOT of flaws if you make me laugh as much as this did,https://a.ltrbxd.com/resized/film-poster/9/5/2/8/1/2/952812-american-fiction-0-230-0-345-crop.jpg?v=fbc2c6daf1,2024-12-06
Life of Pi,Ang Lee,Drama,Adventure,Suraj Sharma,2012,3.7,Frandi Peralta,4.5,"Adult Pi Patel: ""I suppose in the end, the whole of life becomes an act of letting go, but what always hurts the most is not taking a moment to say goodbye.""",https://a.ltrbxd.com/resized/film-poster/7/4/3/4/8/74348-life-of-pi-0-230-0-345-crop.jpg?v=5b5f120090,2024-12-08
Life of Pi,Ang Lee,Drama,Adventure,Suraj Sharma,2012,3.7,cinéfila... 🕯️,4.5,some shots in this movie are so beautiful i wanted to straight up die,https://a.ltrbxd.com/resized/film-poster/7/4/3/4/8/74348-life-of-pi-0-230-0-345-crop.jpg?v=5b5f120090,2024-12-08
Finding Dory,Andrew Stanton,Adventure,Comedy,Albert Brooks,2016,3.3,alor,4.0,gonna tell my kids this was memento,https://a.ltrbxd.com/resized/film-poster/9/9/4/0/2/99402-finding-dory-0-230-0-345-crop.jpg?v=7f9734ec2d,2024-12-09
Finding Dory,Andrew Stanton,Adventure,Comedy,Albert Brooks,2016,3.3,James (Schaffrillas),3.5,This is easily the best non-Toy Story Pixar sequel but y'all aren't ready for that conversation,https://a.ltrbxd.com/resized/film-poster/9/9/4/0/2/99402-finding-dory-0-230-0-345-crop.jpg?v=7f9734ec2d,2024-12-09
Fresh,Mimi Cave,Horror,Thriller,Daisy Edgar-Jones,2022,3.4,belle🦕,4.0,fuck it. let’s get more movies with 30 minute intros,https://a.ltrbxd.com/resized/film-poster/7/0/6/0/6/4/706064-fresh-0-230-0-345-crop.jpg?v=546285b96d,2024-12-10
Despicable Me,Chris Renaud,Comedy,Animation,Steve Carell,2010,3.6,Jay,2.5,"phoebe bridgers 🤝 gru
“if i could give you the moon i would give you the moon”",https://a.ltrbxd.com/resized/film-poster/3/9/0/6/7/39067-despicable-me-0-230-0-345-crop.jpg?v=a50cb28a31,2024-12-11
Despicable Me,Chris Renaud,Comedy,Animation,Steve Carell,2010,3.6,adambolt,3.5,why is vector so fucking hot,https://a.ltrbxd.com/resized/film-poster/3/9/0/6/7/39067-despicable-me-0-230-0-345-crop.jpg?v=a50cb28a31,2024-12-11
The Parent Trap,Nancy Meyers,Family,Romance,Lindsay Lohan,1998,3.7,mulaney,4.5,"""you're gonna adopt meredith! that is so sweet, dad."" YOOOOO",https://a.ltrbxd.com/resized/sm/upload/kx/iu/iq/nv/jzE9AhiNH0r40f3APmeLDvZBfmz-0-230-0-345-crop.jpg?v=2a873afb6f,2024-12-12
The Parent Trap,Nancy Meyers,Family,Romance,Lindsay Lohan,1998,3.7,Lucy,4.5,these asshole parents really snapped and looked right at their newborn babies and said “OK THAT’S IT! you take a twin and i take a twin and we NEVER SPEAK AGAIN.... our daughters will just have to live without their twin sister AND one of their parents and shall not even know of their existence.... it’s a very rational plan and not evil in the slightest” the double lindsay lohans probably had the FATTEST therapy bills because of them,https://a.ltrbxd.com/resized/sm/upload/kx/iu/iq/nv/jzE9AhiNH0r40f3APmeLDvZBfmz-0-230-0-345-crop.jpg?v=2a873afb6f,2024-12-12
