title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
Mad Max: Fury Road,George Miller,Adventure,Science Fiction,Tom Hardy,2015,4.2,Patrick Willems,5.0,Few movies in history have ever whipped quite this hard,https://a.ltrbxd.com/resized/film-poster/6/2/7/8/0/62780-mad-max-fury-road-0-230-0-345-crop.jpg?v=37c5424b1f,2024-12-13
Up,Pete Docter,Animation,Adventure,Ed Asner,2009,4.1,Jeremy Bronson,5.0,"One hundred years from now, film scholars will study the 15 wordless minutes near the beginning of this movie as one of the finest examples of storytelling across any medium or genre. I say this without threat of hyperbole.",https://a.ltrbxd.com/resized/film-poster/4/3/3/0/2/43302-up-0-230-0-345-crop.jpg?v=eac6a19a4c,2024-12-14
Howl's Moving Castle,Hayao Miyazaki,Fantasy,Adventure,Chieko Baisho,2004,4.3,sai,5.0,sophie walking into howl's castle for the first time: damn bitch you live like this?,https://a.ltrbxd.com/resized/film-poster/4/9/0/6/2/49062-howl-s-moving-castle-0-230-0-345-crop.jpg?v=fde81bda52,2024-12-15
Howl's Moving Castle,Hayao Miyazaki,Fantasy,Adventure,Chieko Baisho,2004,4.3,shay,4.5,howl made sophie a portal to a valley he knew she'd love and i can't even get a text back,https://a.ltrbxd.com/resized/film-poster/4/9/0/6/2/49062-howl-s-moving-castle-0-230-0-345-crop.jpg?v=fde81bda52,2024-12-15
Anatomy of a Fall,Justine Triet,Mystery,Crime,Sandra Hüller,2023,4.1,Ayo Edebiri,0.0,Well I just saw the greatest acting performance of my life and it was not by Sandra Hüller or a child actor with the cuntiest bangs I’ve ever seen — it was by a dog so—,https://a.ltrbxd.com/resized/film-poster/8/2/2/0/9/3/822093-anatomy-of-a-fall-0-230-0-345-crop.jpg?v=4efab8aedc,2024-12-16
Anatomy of a Fall,Justine Triet,Mystery,Crime,Sandra Hüller,2023,4.1,Dan Py,5.0,I thought the husband was a DJ cooking up a banger upstairs,https://a.ltrbxd.com/resized/film-poster/8/2/2/0/9/3/822093-anatomy-of-a-fall-0-230-0-345-crop.jpg?v=4efab8aedc,2024-12-16
Drive,Nicolas Winding Refn,Thriller,Drama,Ryan Gosling,2011,3.9,ksenija,3.0,"when ryan gosling said "" "" , man i felt that",https://a.ltrbxd.com/resized/sm/upload/6d/6l/r3/e9/nu7XIa67cXc2t7frXCE5voXUJcN.jpg-0-230-0-345-crop.jpg?v=58a476ae28,2024-12-17
Drive,Nicolas Winding Refn,Thriller,Drama,Ryan Gosling,2011,3.9,andie,5.0,"Do you guys ever wonder how we, as a society, got to and from places before Ryan Gosling invented driving 6 years ago?",https://a.ltrbxd.com/resized/sm/upload/6d/6l/r3/e9/nu7XIa67cXc2t7frXCE5voXUJcN.jpg-0-230-0-345-crop.jpg?v=58a476ae28,2024-12-17
Don't Look Up,Adam McKay,Science Fiction,Comedy,Leonardo DiCaprio,2021,3.0,marsh boy,2.5,oscar-worthy performance by leo pretending to like women his own age,https://a.ltrbxd.com/resized/film-poster/5/7/2/2/5/5/572255-don-t-look-up-0-230-0-345-crop.jpg?v=a58cc4aba2,2024-12-18
Don't Look Up,Adam McKay,Science Fiction,Comedy,Leonardo DiCaprio,2021,3.0,kj,3.0,it’s giving live-action chicken little,https://a.ltrbxd.com/resized/film-poster/5/7/2/2/5/5/572255-don-t-look-up-0-230-0-345-crop.jpg?v=a58cc4aba2,2024-12-18
Little Miss Sunshine,Valerie Faris,Drama,Comedy,Greg Kinnear,2006,4.2,#1 gizmo fan,5.0,I can't believe this movie simultaneously caused and cured my depression!,https://a.ltrbxd.com/resized/sm/upload/h6/xm/om/q7/dOeM4R55TsAFBXCPNIDDMiJkePr-0-230-0-345-crop.jpg?v=09383296c6,2024-12-19
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Fantasy,Adventure,Daniel Radcliffe,2004,4.1,cinéfila... 🕯️,5.0,imagine how much better this franchise would have been if alfonso cuarón had directed all of it,https://a.ltrbxd.com/resized/sm/upload/a3/0q/kf/h8/jUFjMoLh8T2CWzHUSjKCojI5SHu-0-230-0-345-crop.jpg?v=6285ee260e,2024-12-20
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Fantasy,Adventure,Daniel Radcliffe,2004,4.1,dani✨,5.0,"- IF 😭 YOU 😭 EVER 😭 WANTED 😭 A 😭 DIFFERENT 😭 HOME 😭
- WHAT 😭 COME 😭 AND 😭 LIVE 😭 WITH 😭 YOU 😭
- WELL 😭 IT'S 😭 JUST 😭 A 😭 THOUGHT 😭 I 😭 CAN 😭 UNDERSTAND 😭 IF 😭 YOU 😭 DON'T 😭 WANT 😭 TO 😭",https://a.ltrbxd.com/resized/sm/upload/a3/0q/kf/h8/jUFjMoLh8T2CWzHUSjKCojI5SHu-0-230-0-345-crop.jpg?v=6285ee260e,2024-12-20
Back to the Future,Robert Zemeckis,Comedy,Science Fiction,Michael J. Fox,1985,4.2,Patrick Willems,5.0,"When they all shout ""SHIT"" and then get shit dumped on them? That's cinema. 5/5. Perfect.",https://a.ltrbxd.com/resized/film-poster/5/1/9/4/5/51945-back-to-the-future-0-230-0-345-crop.jpg?v=6662417358,2024-12-21
Back to the Future,Robert Zemeckis,Comedy,Science Fiction,Michael J. Fox,1985,4.2,matt lynch,4.0,So structurally perfect that it may have eventually ruined movies.,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/5/51945-back-to-the-future-0-230-0-345-crop.jpg?v=6662417358,2024-12-21
Star Wars,George Lucas,Adventure,Action,Mark Hamill,1977,4.2,Karsten,4.5,would be cooler if there was a giant fucking worm,https://a.ltrbxd.com/resized/film-poster/2/7/0/6/2706-star-wars-0-230-0-345-crop.jpg?v=f1f1271bf5,2024-12-22
Star Wars,George Lucas,Adventure,Action,Mark Hamill,1977,4.2,river,5.0,the powerpoint transitions never get old,https://a.ltrbxd.com/resized/film-poster/2/7/0/6/2706-star-wars-0-230-0-345-crop.jpg?v=f1f1271bf5,2024-12-22
Star Wars,George Lucas,Adventure,Action,Mark Hamill,1977,4.2,clownhead,5.0,obi-wan calling vader “Darth” like it’s his first name is the most baller fucking gauntlet slam of all time get on his level you cronies,https://a.ltrbxd.com/resized/film-poster/2/7/0/6/2706-star-wars-0-230-0-345-crop.jpg?v=f1f1271bf5,2024-12-22
GoodFellas,Martin Scorsese,Drama,Crime,Robert De Niro,1990,4.5,oleff,4.5,idk man there were some pretty bad fellas in this one,https://a.ltrbxd.com/resized/film-poster/5/1/3/8/3/51383-goodfellas-0-230-0-345-crop.jpg?v=c6c265f228,2024-12-25
GoodFellas,Martin Scorsese,Drama,Crime,Robert De Niro,1990,4.5,•°▪︎James▪︎°•,4.5,"""He couldn't have been more than 28 or 29 at the time-""
Cuts to a 46 year old Robert De Niro",https://a.ltrbxd.com/resized/film-poster/5/1/3/8/3/51383-goodfellas-0-230-0-345-crop.jpg?v=c6c265f228,2024-12-25
GoodFellas,Martin Scorsese,Drama,Crime,Robert De Niro,1990,4.5,Patrick Willems,5.0,Man I gotta start doing that garlic razor blade trick,https://a.ltrbxd.com/resized/film-poster/5/1/3/8/3/51383-goodfellas-0-230-0-345-crop.jpg?v=c6c265f228,2024-12-25
Aftersun,Charlotte Wells,Drama,,Paul Mescal,2022,4.2,James (Schaffrillas),5.0,The kind of movie that makes you sit for 30 minutes and rethink every interaction you've ever had with your parents afterward,https://a.ltrbxd.com/resized/film-poster/8/6/8/5/5/8/868558-aftersun-0-230-0-345-crop.jpg?v=5ce2118fca,2024-12-26
Aftersun,Charlotte Wells,Drama,,Paul Mescal,2022,4.2,crimsen 泓,4.5,capturing the last dance of intimacy and memory in her little mind camera.,https://a.ltrbxd.com/resized/film-poster/8/6/8/5/5/8/868558-aftersun-0-230-0-345-crop.jpg?v=5ce2118fca,2024-12-26
The Hunger Games,Gary Ross,Fantasy,Science Fiction,Jennifer Lawrence,2012,3.7,shay,3.0,it's been 7 years since this movie was released and 11 years since the book was published and here i am still laughing at how katniss and peeta's ship name is fucking peeniss,https://a.ltrbxd.com/resized/sm/upload/x3/tw/wu/z4/vAkjFEm76Lu5hSevquxPgQ91OtI-0-230-0-345-crop.jpg?v=f4bfaf16df,2024-12-27
The Hunger Games,Gary Ross,Fantasy,Science Fiction,Jennifer Lawrence,2012,3.7,chloe 💓,3.0,camera work more unstable than my future,https://a.ltrbxd.com/resized/sm/upload/x3/tw/wu/z4/vAkjFEm76Lu5hSevquxPgQ91OtI-0-230-0-345-crop.jpg?v=f4bfaf16df,2024-12-27
Soul,Pete Docter,Family,Animation,Jamie Foxx,2020,3.9,Jay,4.5,i dont know about you! but im feeling 22!,https://a.ltrbxd.com/resized/film-poster/4/3/8/5/1/1/438511-soul-0-230-0-345-crop.jpg?v=8d0b74f9a8,2024-12-28
Spider-Man: Homecoming,Jon Watts,Action,Drama,Tom Holland,2017,3.5,˗ˏˋ suspirliam ˊˎ˗,4.0,"so, you got detention ‼️🤭 you screwed up 👎 you know what you did was wrong 😔 the question is, how are you going to make things right? 🤔🤔🤔 maybe you were trying to be cool 🤙 take it from a guy who's been frozen for 65 years ☃️❄️ the only way to really be cool is to follow the rules 🤓 we all know what's right ✅ we all know what's wrong ❌ next time those turkeys 🦃 try to convince you to do something that you know is wrong, just think to yourself, ""what would captain america do?"" 🇺🇸🤠✌️",https://a.ltrbxd.com/resized/film-poster/2/4/2/7/1/0/242710-spider-man-homecoming-0-230-0-345-crop.jpg?v=61e8c57229,2024-12-29
Spider-Man: Homecoming,Jon Watts,Action,Drama,Tom Holland,2017,3.5,Sarah,4.0,"the mcu is like the man in my life who I always tell my girlfriends ""oh I'm over his ass!"" but then he hits me with a ""you up?"" text and I respond literally seconds later.",https://a.ltrbxd.com/resized/film-poster/2/4/2/7/1/0/242710-spider-man-homecoming-0-230-0-345-crop.jpg?v=61e8c57229,2024-12-29
Avatar: The Way of Water,James Cameron,Action,Adventure,Sam Worthington,2022,3.6,sophie,3.5,james cameron had 13 years to change the font for the subtitles and still went with fucking papyrus,https://a.ltrbxd.com/resized/film-poster/6/3/0/5/8/63058-avatar-the-way-of-water-0-230-0-345-crop.jpg?v=cc3269e69d,2024-12-30
Avatar: The Way of Water,James Cameron,Action,Adventure,Sam Worthington,2022,3.6,the film drunk,4.0,Leaving Pandora and coming back into our shit reality after the movie ends top 10 saddest moments,https://a.ltrbxd.com/resized/film-poster/6/3/0/5/8/63058-avatar-the-way-of-water-0-230-0-345-crop.jpg?v=cc3269e69d,2024-12-30
Guardians of the Galaxy Vol. 3,James Gunn,Action,Adventure,Chris Pratt,2023,4.0,ram<3,5.0,"this is not a movie, this is a fucking apology letter from marvel studios",https://a.ltrbxd.com/resized/film-poster/3/7/9/7/1/1/379711-guardians-of-the-galaxy-volume-3-0-230-0-345-crop.jpg?v=bd023e472c,2024-12-31
Guardians of the Galaxy Vol. 3,James Gunn,Action,Adventure,Chris Pratt,2023,4.0,James (Schaffrillas),4.5,Makes Thor Love and Thunder look like a preschooler made it,https://a.ltrbxd.com/resized/film-poster/3/7/9/7/1/1/379711-guardians-of-the-galaxy-volume-3-0-230-0-345-crop.jpg?v=bd023e472c,2024-12-31
WALL·E,Andrew Stanton,Animation,Science Fiction,Ben Burtt,2008,4.2,James (Schaffrillas),4.5,Bold of Disney to finance and release a movie about a megacorporation that destroys the Earth,https://a.ltrbxd.com/resized/film-poster/4/5/9/9/4/45994-walle-0-230-0-345-crop.jpg?v=ad27f0ceac,2025-01-01
Harry Potter and the Philosopher's Stone,Chris Columbus,Adventure,Fantasy,Daniel Radcliffe,2001,3.8,Holly-Beth,0.0,"you ought to be careful, someone might think you're...















up... to something...",https://a.ltrbxd.com/resized/sm/upload/5t/cj/6w/6e/harrypotter2-0-230-0-345-crop.jpg?v=0053b4ed93,2025-01-02
Harry Potter and the Philosopher's Stone,Chris Columbus,Adventure,Fantasy,Daniel Radcliffe,2001,3.8,☆ sophie ☆,4.0,"Ron: once I make maii mooove, then yore free to chack the 👑🤴🏻kang🤴🏻👑
Harry: Naou, RON 🚫❌NAOUUUU❌🚫
Hermione: 💖🎀hhhhwhaat issit??🎀💖
Harry: 👹hE's gOiNg tO sAcRiFiCe hImSeLf !!!👹
Hermionie: 🥵no you cAN'T theremustbeanotherWAIYYYY🥵
Ron: 👿jowanna stop snape from gatton' that stone ornot!!😤🤬
Ron: harry its you that has to go on, i know äêt 🤔
Ron: not me, not Hermione, YAOÛ 👈

this tiktok lives rent free in my head",https://a.ltrbxd.com/resized/sm/upload/5t/cj/6w/6e/harrypotter2-0-230-0-345-crop.jpg?v=0053b4ed93,2025-01-02
Harry Potter and the Philosopher's Stone,Chris Columbus,Adventure,Fantasy,Daniel Radcliffe,2001,3.8,cinéfila... 🕯️,4.0,"me: i think im over my harry potter obsession
me after hearing 5 seconds of hedwig's theme, holding back tears: i guess the fuck not",https://a.ltrbxd.com/resized/sm/upload/5t/cj/6w/6e/harrypotter2-0-230-0-345-crop.jpg?v=0053b4ed93,2025-01-02
Top Gun: Maverick,Joseph Kosinski,Action,Drama,Tom Cruise,2022,4.0,Patrick Willems,4.0,Yeah the flying is amazing and it has the most thrilling action finale I’ve seen in a blockbuster in years but honestly one of the most exciting things about this movie is that Tom Cruise finally made a movie that acknowledges he’s getting older,https://a.ltrbxd.com/resized/film-poster/2/9/3/4/6/5/293465-top-gun-maverick-0-230-0-345-crop.jpg?v=9f8af0f61b,2025-01-03
Top Gun: Maverick,Joseph Kosinski,Action,Drama,Tom Cruise,2022,4.0,David Sims,4.5,he go fast in airplane,https://a.ltrbxd.com/resized/film-poster/2/9/3/4/6/5/293465-top-gun-maverick-0-230-0-345-crop.jpg?v=9f8af0f61b,2025-01-03
Top Gun: Maverick,Joseph Kosinski,Action,Drama,Tom Cruise,2022,4.0,CosmonautMarkie,4.0,Like the original Top Gun but if it was good,https://a.ltrbxd.com/resized/film-poster/2/9/3/4/6/5/293465-top-gun-maverick-0-230-0-345-crop.jpg?v=9f8af0f61b,2025-01-03
The Lighthouse,Robert Eggers,Horror,Drama,Robert Pattinson,2019,4.0,esther,0.0,"idiots will call this a staggering retelling of the myth of prometheus through the eyes of the american laborer, the fire of the gods becoming success under capitalism, an unattainable fiction that drives men to maddened violence in their pursuit
geniuses will understand that this is a movie about getting drunk and almost kissing ur homie and then getting even drunker and tenderly holding each other as you drift off to sleep",https://a.ltrbxd.com/resized/film-poster/4/3/3/8/6/3/433863-the-lighthouse-0-230-0-345-crop.jpg?v=ee97005537,2025-01-05
The Lighthouse,Robert Eggers,Horror,Drama,Robert Pattinson,2019,4.0,Hari Nef,0.0,not a cell phone in sight. just guys being dudes,https://a.ltrbxd.com/resized/film-poster/4/3/3/8/6/3/433863-the-lighthouse-0-230-0-345-crop.jpg?v=ee97005537,2025-01-05
The Lighthouse,Robert Eggers,Horror,Drama,Robert Pattinson,2019,4.0,Jay,5.0,dinner with papaw tonight...❤️ he made 12 lobsters for all 6 wickies and only one showed. 😢 love him,https://a.ltrbxd.com/resized/film-poster/4/3/3/8/6/3/433863-the-lighthouse-0-230-0-345-crop.jpg?v=ee97005537,2025-01-05
Alien,Ridley Scott,Horror,Science Fiction,Tom Skerritt,1979,4.3,demi adejuyigbe,4.5,"if you are going into space i think that you should leave your cat at home, he does not need the stress",https://a.ltrbxd.com/resized/sm/upload/8v/f1/qw/aa/bg7K6VtUG7Ew70gQj6SSroD5d4R-0-230-0-345-crop.jpg?v=a932f9e98e,2025-01-06
Alien,Ridley Scott,Horror,Science Fiction,Tom Skerritt,1979,4.3,Matt Singer,4.5,"“You still don't understand what you're dealing with, do you? Perfect organism. Its structural perfection is matched only by its hostility.”
Sometimes a movie provides its own review.",https://a.ltrbxd.com/resized/sm/upload/8v/f1/qw/aa/bg7K6VtUG7Ew70gQj6SSroD5d4R-0-230-0-345-crop.jpg?v=a932f9e98e,2025-01-06
The Devil Wears Prada,David Frankel,Comedy,Drama,Meryl Streep,2006,3.8,clownhead,4.0,"incredible how emily blunt plays a character called emily whose main characteristic is ""blunt."" one of many visionary elements in this seminal Masterpiece.",https://a.ltrbxd.com/resized/film-poster/5/1/7/1/2/51712-the-devil-wears-prada-0-230-0-345-crop.jpg?v=65a9cdb330,2025-01-07
The Devil Wears Prada,David Frankel,Comedy,Drama,Meryl Streep,2006,3.8,Erik 🎼,5.0,every single man in this movie is a dumb selfish disgusting whiny loser except for Nigel. big dick energy was invented for Stanley Tucci.,https://a.ltrbxd.com/resized/film-poster/5/1/7/1/2/51712-the-devil-wears-prada-0-230-0-345-crop.jpg?v=65a9cdb330,2025-01-07
The Devil Wears Prada,David Frankel,Comedy,Drama,Meryl Streep,2006,3.8,beck,3.0,this is just the fashion version of whiplash,https://a.ltrbxd.com/resized/film-poster/5/1/7/1/2/51712-the-devil-wears-prada-0-230-0-345-crop.jpg?v=65a9cdb330,2025-01-07
Bottoms,Emma Seligman,Comedy,,Rachel Sennott,2023,3.8,Ayo Edebiri,5.0,I’m in it with my friends so,https://a.ltrbxd.com/resized/film-poster/7/3/1/2/2/2/731222-bottoms-0-230-0-345-crop.jpg?v=11b87368c8,2025-01-08
Bottoms,Emma Seligman,Comedy,,Rachel Sennott,2023,3.8,Sergio Muñoz Esquer,4.0,bloopers during end credits are back! nature and cinema are healing!,https://a.ltrbxd.com/resized/film-poster/7/3/1/2/2/2/731222-bottoms-0-230-0-345-crop.jpg?v=11b87368c8,2025-01-08
Bottoms,Emma Seligman,Comedy,,Rachel Sennott,2023,3.8,Reece,4.5,"if you thought Barbie was the best whimsical satire about feminism and the harms of the patriarchy, featuring music from Charli XCX, with a massive choreographed fight scene between warring factions, crafted specifically for lesbians, made in the year of our lord 2023… well guess again!!",https://a.ltrbxd.com/resized/film-poster/7/3/1/2/2/2/731222-bottoms-0-230-0-345-crop.jpg?v=11b87368c8,2025-01-08
Bullet Train,David Leitch,Thriller,Comedy,Brad Pitt,2022,3.6,the film drunk,3.5,Why is everyone so good looking on this damn train,https://a.ltrbxd.com/resized/film-poster/6/4/1/9/6/1/641961-bullet-train-0-230-0-345-crop.jpg?v=9245faa1ba,2025-01-09
Bullet Train,David Leitch,Thriller,Comedy,Brad Pitt,2022,3.6,✧*ೃ༄ maë,4.0,who allowed aaron taylor johnson to be this hot,https://a.ltrbxd.com/resized/film-poster/6/4/1/9/6/1/641961-bullet-train-0-230-0-345-crop.jpg?v=9245faa1ba,2025-01-09
No Country for Old Men,Joel Coen,Crime,Thriller,Javier Bardem,2007,4.3,maria,4.0,the most disturbing shit about this movie is javier bardem's hairdo,https://a.ltrbxd.com/resized/sm/upload/dr/hr/pz/ez/ehLb2SQ3djlA1FrQKbP2WO3VH09-0-230-0-345-crop.jpg?v=6489920a92,2025-01-10
No Country for Old Men,Joel Coen,Crime,Thriller,Javier Bardem,2007,4.3,rai,3.5,nothing is scarier than being chased by javier bardem and his mushroom hair. NOTHING,https://a.ltrbxd.com/resized/sm/upload/dr/hr/pz/ez/ehLb2SQ3djlA1FrQKbP2WO3VH09-0-230-0-345-crop.jpg?v=6489920a92,2025-01-10
Prisoners,Denis Villeneuve,Thriller,Crime,Hugh Jackman,2013,4.3,mommy longlegs,4.5,i love paul dano but i also love watching people beat the shit out of paul dano,https://a.ltrbxd.com/resized/sm/upload/iw/eg/4g/nm/3w79tTsv6tmlT8Jww6snyPrgVok-0-230-0-345-crop.jpg?v=778c7ae8b8,2025-01-11
Longlegs,Osgood Perkins,Horror,Thriller,Maika Monroe,2024,3.4,Jim Caddick,4.0,His legs weren’t even that long,https://a.ltrbxd.com/resized/film-poster/1/1/1/0/0/5/9/1110059-longlegs-0-230-0-345-crop.jpg?v=9d77241a8c,2025-01-12
Longlegs,Osgood Perkins,Horror,Thriller,Maika Monroe,2024,3.4,owen,2.0,I don’t really know what I expected but there was way more Bill Clinton screen time than I was both mentally and physically prepared for.,https://a.ltrbxd.com/resized/film-poster/1/1/1/0/0/5/9/1110059-longlegs-0-230-0-345-crop.jpg?v=9d77241a8c,2025-01-12
Avatar,James Cameron,Fantasy,Science Fiction,Sam Worthington,2009,3.6,Mike Ginn,3.5,"Through a biotech miracle, a white guy gets to have dreads",https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-230-0-345-crop.jpg?v=0bb5ec98ec,2025-01-13
Avatar,James Cameron,Fantasy,Science Fiction,Sam Worthington,2009,3.6,Juan Tarrio,2.5,The most overrated movie of all time.,https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-230-0-345-crop.jpg?v=0bb5ec98ec,2025-01-13
Avatar,James Cameron,Fantasy,Science Fiction,Sam Worthington,2009,3.6,Karsten,3.0,watched on my ipad on the airplane,https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-230-0-345-crop.jpg?v=0bb5ec98ec,2025-01-13
2001: A Space Odyssey,Stanley Kubrick,Adventure,Mystery,Keir Dullea,1968,4.3,Matt Singer,5.0,"Dear College-Age Matt Singer, who thinks this movie is long, boring, and pretentious:
You’re a fucking idiot.
Love,
Your Older, Smarter Self.",https://a.ltrbxd.com/resized/sm/upload/fe/jp/49/l9/eDiexVN4nO3ZdDZCDMiJOX5fQ5r-0-230-0-345-crop.jpg?v=ef7fa718a0,2025-01-14
