title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
It Follows,David Robert Mitchell,Horror,Mystery,Maika Monroe,2014,3.5,ava adore,5.0,U KNOW WHAT?? I STILL DON'T KNOW WHAT THE FUCK THAT SEASHELL READER IS AND IT'S REALLY PISSING ME OFF!!!,https://a.ltrbxd.com/resized/sm/upload/zr/lv/9v/wy/4MrwJZr0R9LbyOgZqwLNmtzzxbu-0-230-0-345-crop.jpg?v=0f234ef9c3,2024-12-02
It Follows,David Robert Mitchell,Horror,Mystery,Maika Monroe,2014,3.5,Vitória,4.5,Sex? Cancelled.,https://a.ltrbxd.com/resized/sm/upload/zr/lv/9v/wy/4MrwJZr0R9LbyOgZqwLNmtzzxbu-0-230-0-345-crop.jpg?v=0f234ef9c3,2024-12-02
It Follows,David Robert Mitchell,Horror,Mystery,Maika Monroe,2014,3.5,Lucy,5.0,when the score goes do do WHEH WHEH WHEH WHEH WHEH WHEH WHEH do do WHEH WHEH WHEH WHEH WHEH WHEH WHEH 💀,https://a.ltrbxd.com/resized/sm/upload/zr/lv/9v/wy/4MrwJZr0R9LbyOgZqwLNmtzzxbu-0-230-0-345-crop.jpg?v=0f234ef9c3,2024-12-02
Blue Velvet,David Lynch,Thriller,Crime,Isabella Rossellini,1986,4.1,evan 🍃,4.5,"Laura Dern: *pours heart and soul out about a dream of her undying love for Kyle MacLachlan*
Kyle MacLachan: ""yOu'Re A nEaT gIrL""",https://a.ltrbxd.com/resized/film-poster/5/1/3/5/9/51359-blue-velvet-0-230-0-345-crop.jpg?v=b0ee3c20f6,2024-12-03
Blue Velvet,David Lynch,Thriller,Crime,Isabella Rossellini,1986,4.1,liam f,5.0,"just imagine having sex with someone only for them to refer to it as ""putting your disease in me""",https://a.ltrbxd.com/resized/film-poster/5/1/3/5/9/51359-blue-velvet-0-230-0-345-crop.jpg?v=b0ee3c20f6,2024-12-03
Blue Velvet,David Lynch,Thriller,Crime,Isabella Rossellini,1986,4.1,p e r s i a 🍒,4.5,"“You want to go for a ride?”
“No thanks.”
“No thanks. What does that mean?”
“I don’t want to go.”
“Go where?”
“On a ride.”
“A ride? Hell, that’s a good idea. Okay, let’s go.”
God bless David Lynch.",https://a.ltrbxd.com/resized/film-poster/5/1/3/5/9/51359-blue-velvet-0-230-0-345-crop.jpg?v=b0ee3c20f6,2024-12-03
Leave the World Behind,Sam Esmail,Thriller,Drama,Julia Roberts,2023,2.8,Harry Argyle,2.5,"If edging was a movie, this would be it.",https://a.ltrbxd.com/resized/film-poster/6/4/8/8/6/9/648869-leave-the-world-behind-0-230-0-345-crop.jpg?v=927d0da068,2024-12-04
Leave the World Behind,Sam Esmail,Thriller,Drama,Julia Roberts,2023,2.8,Doctor Z,0.0,"Wait wait wait, so Kevin Bacon and Ethan Hawke are not the same person?",https://a.ltrbxd.com/resized/film-poster/6/4/8/8/6/9/648869-leave-the-world-behind-0-230-0-345-crop.jpg?v=927d0da068,2024-12-04
Children of Men,Alfonso Cuarón,Action,Drama,Clive Owen,2006,4.3,gal pacino,5.0,predicted brexit,https://a.ltrbxd.com/resized/sm/upload/ju/ac/6a/yi/lg7s7U1FQtB4VbLzvFUSgDX0frZ-0-230-0-345-crop.jpg?v=e4053ab6bf,2024-12-05
Children of Men,Alfonso Cuarón,Action,Drama,Clive Owen,2006,4.3,Karsten,4.5,"Well, shit.
One of the most impressive films I think I've ever seen. I just....hm. I really do feel stupid trying to put any of my feelings about this film into words. Nothing I say will do it justice. Lots of anger, sadness, pain, anxiety, too much to describe in any coherent way. We don't deserve Alfonso Cuaron.",https://a.ltrbxd.com/resized/sm/upload/ju/ac/6a/yi/lg7s7U1FQtB4VbLzvFUSgDX0frZ-0-230-0-345-crop.jpg?v=e4053ab6bf,2024-12-05
Children of Men,Alfonso Cuarón,Action,Drama,Clive Owen,2006,4.3,maria,4.5,is it possible to cry because of overwhelmingly breathtaking cinematography? asking for a friend,https://a.ltrbxd.com/resized/sm/upload/ju/ac/6a/yi/lg7s7U1FQtB4VbLzvFUSgDX0frZ-0-230-0-345-crop.jpg?v=e4053ab6bf,2024-12-05
Ant-Man and the Wasp: Quantumania,Peyton Reed,Adventure,Science Fiction,Paul Rudd,2023,2.2,Pepe Ruiloba,2.0,It took me 31 films but I finally started to empathize with Scorsese.,https://a.ltrbxd.com/resized/film-poster/5/6/6/2/3/7/566237-ant-man-and-the-wasp-quantumania-0-230-0-345-crop.jpg?v=27ced3fac4,2024-12-06
Ant-Man and the Wasp: Quantumania,Peyton Reed,Adventure,Science Fiction,Paul Rudd,2023,2.2,Angie Han,0.0,do they know cinema is a visual medium,https://a.ltrbxd.com/resized/film-poster/5/6/6/2/3/7/566237-ant-man-and-the-wasp-quantumania-0-230-0-345-crop.jpg?v=27ced3fac4,2024-12-06
Shiva Baby,Emma Seligman,Comedy,Drama,Rachel Sennott,2020,3.8,lauren,5.0,uncut gems for hot girls who think considering law school is a personality trait,https://a.ltrbxd.com/resized/film-poster/5/8/9/0/9/3/589093-shiva-baby-0-230-0-345-crop.jpg?v=a258215f88,2024-12-07
