title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
Thelma & Louise,Ridley Scott,Drama,Thriller,Susan Sarandon,1991,4.2,chloe,5.0,I too want to ruin multiple men’s lives with the help of my girlfriend,https://a.ltrbxd.com/resized/sm/upload/wt/r4/hc/iz/pnzuLoE52EiTfjfqRex2uTkH7LB-0-230-0-345-crop.jpg?v=5c24b21874,2024-12-02
Thelma & Louise,Ridley Scott,Drama,Thriller,Susan Sarandon,1991,4.2,maria,4.5,"i was gonna make a thirsty brad pitt comment but hOW CAN I FOCUS ON THAT WHEN MY GIRLS INVENTED FEMINISM, LESBIANISM AND MOVIE ENDINGS AND BASICALLY SAVED MY LIFE?",https://a.ltrbxd.com/resized/sm/upload/wt/r4/hc/iz/pnzuLoE52EiTfjfqRex2uTkH7LB-0-230-0-345-crop.jpg?v=5c24b21874,2024-12-02
The Flash,Andy Muschietti,Science Fiction,Action,Ezra Miller,2023,2.5,the film drunk,1.5,Absolutely brutal timing for this to come out after Across the Spider-Verse I have to laugh,https://a.ltrbxd.com/resized/film-poster/2/2/5/8/4/5/225845-the-flash-0-230-0-345-crop.jpg?v=be50db18ec,2024-12-03
The Flash,Andy Muschietti,Science Fiction,Action,Ezra Miller,2023,2.5,24framesofnick,1.5,The ugliest fucking movie I’ve ever seen,https://a.ltrbxd.com/resized/film-poster/2/2/5/8/4/5/225845-the-flash-0-230-0-345-crop.jpg?v=be50db18ec,2024-12-03
The Flash,Andy Muschietti,Science Fiction,Action,Ezra Miller,2023,2.5,IHE,2.5,“I could drug you” 🫨😬😬😬😬😬😬😬🫨,https://a.ltrbxd.com/resized/film-poster/2/2/5/8/4/5/225845-the-flash-0-230-0-345-crop.jpg?v=be50db18ec,2024-12-03
"Red, White & Royal Blue",Matthew López,Comedy,Romance,Taylor Zakhar Perez,2023,3.2,justinwuah,3.0,the devil works hard but gay people work harder,https://a.ltrbxd.com/resized/film-poster/8/3/5/4/1/7/835417-red-white-royal-blue-0-230-0-345-crop.jpg?v=79730f5057,2024-12-04
"Red, White & Royal Blue",Matthew López,Comedy,Romance,Taylor Zakhar Perez,2023,3.2,whymark,4.0,very cheesy but then again i’m a rat,https://a.ltrbxd.com/resized/film-poster/8/3/5/4/1/7/835417-red-white-royal-blue-0-230-0-345-crop.jpg?v=79730f5057,2024-12-04
West Side Story,Steven Spielberg,Romance,Crime,Ansel Elgort,2021,3.6,James (Schaffrillas),4.0,The shot of the puddle is so breathtaking and it's such a shame Ansel Elgort had to be at the center of it,https://a.ltrbxd.com/resized/sm/upload/yd/j5/tz/up/xW3t04p24jH7aQyq1J63ApAP9gG-0-230-0-345-crop.jpg?v=a25d5f6f88,2024-12-05
Marcel the Shell with Shoes On,Dean Fleischer Camp,Animation,Drama,Jenny Slate,2021,4.2,Karsten,5.0,are you fucking kidding me,https://a.ltrbxd.com/resized/film-poster/7/8/1/3/2/6/781326-marcel-the-shell-with-shoes-on-0-230-0-345-crop.jpg?v=bc35f07a1c,2024-12-06
Marcel the Shell with Shoes On,Dean Fleischer Camp,Animation,Drama,Jenny Slate,2021,4.2,megan,4.0,marcel is—and i cannot stress this enough—just a little guy,https://a.ltrbxd.com/resized/film-poster/7/8/1/3/2/6/781326-marcel-the-shell-with-shoes-on-0-230-0-345-crop.jpg?v=bc35f07a1c,2024-12-06
Dallas Buyers Club,Jean-Marc Vallée,History,Drama,Matthew McConaughey,2013,4.0,˗ˏˋ suspirliam ˊˎ˗,4.0,"they always say yee haw they never ask haw yee, the movie",https://a.ltrbxd.com/resized/film-poster/1/1/4/6/0/5/114605-dallas-buyers-club-0-230-0-345-crop.jpg?v=f1a830ac72,2024-12-07
