title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
Barbie,Greta Gerwig,Comedy,Adventure,Margot Robbie,2023,3.8,bimbim,5.0,s(he's) bro(ken),https://a.ltrbxd.com/resized/film-poster/2/7/7/0/6/4/277064-barbie-0-230-0-345-crop.jpg?v=1b83dc7a71,2024-12-02
Barbie,Greta Gerwig,Comedy,Adventure,Margot Robbie,2023,3.8,aksel,5.0,can someone please check on Allan im afraid he’s gonna kill himself,https://a.ltrbxd.com/resized/film-poster/2/7/7/0/6/4/277064-barbie-0-230-0-345-crop.jpg?v=1b83dc7a71,2024-12-02
Parasite,Bong Joon-ho,Comedy,Thriller,Song Kang-ho,2019,4.6,Matt Singer,0.0,Another Bong hit.,https://a.ltrbxd.com/resized/film-poster/4/2/6/4/0/6/426406-parasite-0-230-0-345-crop.jpg?v=8f5653f710,2024-12-03
Fight Club,David Fincher,Drama,,Edward Norton,1999,4.3,sree,5.0,fellas it IS gay,https://a.ltrbxd.com/resized/film-poster/5/1/5/6/8/51568-fight-club-0-230-0-345-crop.jpg?v=768b32dfa4,2024-12-04
Everything Everywhere All at Once,Daniel Scheinert,Science Fiction,Adventure,Michelle Yeoh,2022,4.3,Karsten,4.0,easily one of the top 5 movies about taxes,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-230-0-345-crop.jpg?v=281f1a041e,2024-12-05
Everything Everywhere All at Once,Daniel Scheinert,Science Fiction,Adventure,Michelle Yeoh,2022,4.3,CosmonautMarkie,5.0,Watch it and have fun before film Twitter tells you it’s overrated,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-230-0-345-crop.jpg?v=281f1a041e,2024-12-05
Everything Everywhere All at Once,Daniel Scheinert,Science Fiction,Adventure,Michelle Yeoh,2022,4.3,ian,4.5,rocks just made me cry,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-230-0-345-crop.jpg?v=281f1a041e,2024-12-05
La La Land,Damien Chazelle,Drama,Comedy,Ryan Gosling,2016,4.1,Lucy,5.0,this cured my depression and brought it back full force in the span of 2 hours,https://a.ltrbxd.com/resized/film-poster/2/4/0/3/4/4/240344-la-la-land-0-230-0-345-crop.jpg?v=053670ff84,2024-12-06
La La Land,Damien Chazelle,Drama,Comedy,Ryan Gosling,2016,4.1,Karsten,4.5,Love this movie more than I love myself,https://a.ltrbxd.com/resized/film-poster/2/4/0/3/4/4/240344-la-la-land-0-230-0-345-crop.jpg?v=053670ff84,2024-12-06
La La Land,Damien Chazelle,Drama,Comedy,Ryan Gosling,2016,4.1,Sam Van Hallgren,5.0,I've taken all of your criticisms into account and have determined that you're all wrong.,https://a.ltrbxd.com/resized/film-poster/2/4/0/3/4/4/240344-la-la-land-0-230-0-345-crop.jpg?v=053670ff84,2024-12-06
